"CUADRO Nº 4: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia SAN ANTONIO DE PUTINA (000)",18814,152,7898,6771,3324,669
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",13,,2,8,3,
"Profes., científicos e intelectuales (002)",428,,101,214,110,3
"Técnicos de nivel medio y trab.asimilados (003)",179,,71,68,38,2
"Jefes y empleados de oficina (004)",116,,62,35,18,1
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",1785,17,722,692,313,41
"Agricult.trabaj. calif. agrop. y pesqueros (006)",2011,10,404,654,653,290
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",3189,9,1403,1263,482,32
"Obreros construc., conf., papel, fab., instr. (008)",368,,103,163,93,9
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (009)",7734,86,3527,2683,1226,212
"Otra (010)",24,,4,17,3,
"Ocupación no especificada (011)",513,2,227,187,70,27
"Desocupado (012)",2454,28,1272,787,315,52
"Hombres (013)",13904,82,5719,5144,2473,486
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",12,,2,7,3,
"Profes., científicos e intelectuales (015)",311,,64,149,95,3
"Técnicos de nivel medio y trab.asimilados (016)",126,,41,51,32,2
"Jefes y empleados de oficina (017)",86,,41,28,17,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",568,5,181,226,132,24
"Agricult.trabaj. calif. agrop. y pesqueros (019)",1542,3,301,510,507,221
"Obreros y oper.minas, cant.,ind.manuf. y otros (020)",2655,6,1188,1058,382,21
"Obreros construc., conf., papel, fab., instr. (021)",358,,98,159,92,9
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (022)",6054,47,2780,2181,899,147
"Otra (023)",23,,3,17,3,
"Ocupación no especificada (024)",301,1,132,109,43,16
"Desocupado (025)",1868,20,888,649,268,43
"Mujeres (026)",4910,70,2179,1627,851,183
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",1,,,1,,
"Profes., científicos e intelectuales (028)",117,,37,65,15,
"Técnicos de nivel medio y trab.asimilados (029)",53,,30,17,6,
"Jefes y empleados de oficina (030)",30,,21,7,1,1
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",1217,12,541,466,181,17
"Agricult.trabaj. calif. agrop. y pesqueros (032)",469,7,103,144,146,69
"Obreros y oper.minas, cant.,ind.manuf. y otros (033)",534,3,215,205,100,11
