"CUADRO Nº 1: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia ASUNCION (000)",7890,2057,2021,1565,1343,904
"Hombres (001)",3779,1055,1007,740,603,374
"Mujeres (002)",4111,1002,1014,825,740,530
"PEA (003)",2370,24,685,879,568,214
"Hombres (004)",1771,16,491,641,454,169
"Mujeres (005)",599,8,194,238,114,45
"Ocupada (006)",2278,24,646,846,555,207
"Hombres (007)",1694,16,459,614,443,162
"Mujeres (008)",584,8,187,232,112,45
"Desocupada (009)",92,,39,33,13,7
"Hombres (010)",77,,32,27,11,7
"Mujeres (011)",15,,7,6,2,
"No PEA (012)",5520,2033,1336,686,775,690
"Hombres (013)",2008,1039,516,99,149,205
"Mujeres (014)",3512,994,820,587,626,485
,,,,,,
"URBANA (018)",1942,511,520,527,243,141
"Hombres (019)",971,274,259,252,129,57
"Mujeres (020)",971,237,261,275,114,84
"PEA (021)",847,11,261,379,157,39
"Hombres (022)",536,7,164,230,110,25
"Mujeres (023)",311,4,97,149,47,14
"Ocupada (024)",821,11,249,369,155,37
"Hombres (025)",516,7,155,223,108,23
"Mujeres (026)",305,4,94,146,47,14
"Desocupada (027)",26,,12,10,2,2
"Hombres (028)",20,,9,7,2,2
"Mujeres (029)",6,,3,3,,
"No PEA (030)",1095,500,259,148,86,102
"Hombres (031)",435,267,95,22,19,32
"Mujeres (032)",660,233,164,126,67,70
,,,,,,
"RURAL (036)",5948,1546,1501,1038,1100,763
"Hombres (037)",2808,781,748,488,474,317
"Mujeres (038)",3140,765,753,550,626,446
"PEA (039)",1523,13,424,500,411,175
"Hombres (040)",1235,9,327,411,344,144
"Mujeres (041)",288,4,97,89,67,31
"Ocupada (042)",1457,13,397,477,400,170
"Hombres (043)",1178,9,304,391,335,139
"Mujeres (044)",279,4,93,86,65,31
"Desocupada (045)",66,,27,23,11,5
"Hombres (046)",57,,23,20,9,5
"Mujeres (047)",9,,4,3,2,
"No PEA (048)",4425,1533,1077,538,689,588
"Hombres (049)",1573,772,421,77,130,173
"Mujeres (050)",2852,761,656,461,559,415
