"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia RECUAY (000)",12428,11966,462
"Hombres (001)",5924,5810,114
"Mujeres (002)",6504,6156,348
"De 18 a 29 años (003)",3622,3517,105
"Hombres (004)",1808,1759,49
"Mujeres (005)",1814,1758,56
"De 30 a 44 años (006)",3321,3275,46
"Hombres (007)",1574,1564,10
"Mujeres (008)",1747,1711,36
"De 45 a 64 años (009)",3314,3235,79
"Hombres (010)",1589,1575,14
"Mujeres (011)",1725,1660,65
"De 65 y más años (012)",2171,1939,232
"Hombres (013)",953,912,41
"Mujeres (014)",1218,1027,191
,,,
"URBANA (015)",7170,6935,235
"Hombres (016)",3320,3269,51
"Mujeres (017)",3850,3666,184
"De 18 a 29 años (018)",2082,2036,46
"Hombres (019)",1018,996,22
"Mujeres (020)",1064,1040,24
"De 30 a 44 años (021)",1930,1909,21
"Hombres (022)",884,879,5
"Mujeres (023)",1046,1030,16
"De 45 a 64 años (024)",1889,1850,39
"Hombres (025)",885,878,7
"Mujeres (026)",1004,972,32
"De 65 y más años (027)",1269,1140,129
"Hombres (028)",533,516,17
"Mujeres (029)",736,624,112
,,,
"RURAL (030)",5258,5031,227
"Hombres (031)",2604,2541,63
"Mujeres (032)",2654,2490,164
"De 18 a 29 años (033)",1540,1481,59
"Hombres (034)",790,763,27
"Mujeres (035)",750,718,32
"De 30 a 44 años (036)",1391,1366,25
"Hombres (037)",690,685,5
"Mujeres (038)",701,681,20
"De 45 a 64 años (039)",1425,1385,40
"Hombres (040)",704,697,7
"Mujeres (041)",721,688,33
"De 65 y más años (042)",902,799,103
"Hombres (043)",420,396,24
"Mujeres (044)",482,403,79
