"CUADRO Nº 1: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR NÚMERO DE HOGARES, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HOGARES",,,,
,,1,2,3,4,"5 Y MÁS"
,,,,,,
"Provincia SAN IGNACIO",,,,,,
"Viviendas particulares (001)",29121,28752,321,44,4,
"Ocupantes presentes (002)",130377,127145,2663,500,69,
"Casa independiente",,,,,,
"Viviendas particulares (004)",28081,27736,305,37,3,
"Ocupantes presentes (005)",126300,123299,2529,423,49,
"Departamento en edificio",,,,,,
"Viviendas particulares (007)",24,23,,1,,
"Ocupantes presentes (008)",89,81,,8,,
"Vivienda en quinta",,,,,,
"Viviendas particulares (010)",180,170,6,4,,
"Ocupantes presentes (011)",663,566,53,44,,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (013)",264,252,9,2,1,
"Ocupantes presentes (014)",895,776,74,25,20,
"Choza o cabaña",,,,,,
"Viviendas particulares (016)",535,534,1,,,
"Ocupantes presentes (017)",2314,2307,7,,,
"Vivienda improvisada",,,,,,
"Viviendas particulares (019)",8,8,,,,
"Ocupantes presentes (020)",31,31,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (022)",23,23,,,,
"Ocupantes presentes (023)",72,72,,,,
"Otro tipo",,,,,,
"Viviendas particulares (025)",6,6,,,,
"Ocupantes presentes (026)",13,13,,,,
,,,,,,
URBANA,,,,,,
"Viviendas particulares (028)",4801,4613,158,26,4,
"Ocupantes presentes (029)",19777,18171,1249,288,69,
"Casa independiente",,,,,,
"Viviendas particulares (031)",4315,4150,143,19,3,
"Ocupantes presentes (032)",18070,16688,1122,211,49,
"Departamento en edificio",,,,,,
"Viviendas particulares (034)",24,23,,1,,
"Ocupantes presentes (035)",89,81,,8,,
"Vivienda en quinta",,,,,,
"Viviendas particulares (037)",180,170,6,4,,
"Ocupantes presentes (038)",663,566,53,44,,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (040)",264,252,9,2,1,
"Ocupantes presentes (041)",895,776,74,25,20,
"Choza o cabaña",,,,,,
"Vivienda improvisada",,,,,,
"Viviendas particulares (046)",8,8,,,,
"Ocupantes presentes (047)",31,31,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (049)",7,7,,,,
"Ocupantes presentes (050)",25,25,,,,
"Otro tipo",,,,,,
"Viviendas particulares (052)",3,3,,,,
"Ocupantes presentes (053)",4,4,,,,
,,,,,,
RURAL,,,,,,
"Viviendas particulares (055)",24320,24139,163,18,,
"Ocupantes presentes (056)",110600,108974,1414,212,,
"Casa independiente",,,,,,
"Viviendas particulares (058)",23766,23586,162,18,,
"Ocupantes presentes (059)",108230,106611,1407,212,,
"Departamento en edificio",,,,,,
"Vivienda en quinta",,,,,,
"Vivienda en casa de vecindad",,,,,,
"Choza o cabaña",,,,,,
"Viviendas particulares (070)",535,534,1,,,
"Ocupantes presentes (071)",2314,2307,7,,,
"Vivienda improvisada",,,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (076)",16,16,,,,
"Ocupantes presentes (077)",47,47,,,,
"Otro tipo",,,,,,
"Viviendas particulares (079)",3,3,,,,
"Ocupantes presentes (080)",9,9,,,,
