"CUADRO Nº 12: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia RECUAY (000)",16971,1818,296,6720,5233,901,939,437,627
"Hombres (001)",8263,359,161,3148,2959,490,480,281,385
"Mujeres (002)",8708,1459,135,3572,2274,411,459,156,242
"PEA (003)",6002,374,3,1712,2173,391,646,213,490
"Hombres (004)",4340,152,1,1259,1749,281,417,160,321
"Mujeres (005)",1662,222,2,453,424,110,229,53,169
"Ocupada (006)",5503,351,1,1571,1962,355,598,203,462
"Hombres (007)",3934,132,,1143,1571,252,381,151,304
"Mujeres (008)",1569,219,1,428,391,103,217,52,158
"Desocupada (009)",499,23,2,141,211,36,48,10,28
"Hombres (010)",406,20,1,116,178,29,36,9,17
"Mujeres (011)",93,3,1,25,33,7,12,1,11
"No PEA (012)",10969,1444,293,5008,3060,510,293,224,137
"Hombres (013)",3923,207,160,1889,1210,209,63,121,64
"Mujeres (014)",7046,1237,133,3119,1850,301,230,103,73
,,,,,,,,,
"URBANA (018)",9686,829,189,3551,3017,572,721,343,464
"Hombres (019)",4618,138,105,1589,1669,290,343,219,265
"Mujeres (020)",5068,691,84,1962,1348,282,378,124,199
"PEA (021)",3558,147,2,866,1265,257,490,170,361
"Hombres (022)",2417,52,1,581,971,174,298,123,217
"Mujeres (023)",1141,95,1,285,294,83,192,47,144
"Ocupada (024)",3239,131,,787,1138,229,456,161,337
"Hombres (025)",2164,39,,515,864,152,275,115,204
"Mujeres (026)",1075,92,,272,274,77,181,46,133
"Desocupada (027)",319,16,2,79,127,28,34,9,24
"Hombres (028)",253,13,1,66,107,22,23,8,13
"Mujeres (029)",66,3,1,13,20,6,11,1,11
"No PEA (030)",6128,682,187,2685,1752,315,231,173,103
"Hombres (031)",2201,86,104,1008,698,116,45,96,48
"Mujeres (032)",3927,596,83,1677,1054,199,186,77,55
,,,,,,,,,
"RURAL (036)",7285,989,107,3169,2216,329,218,94,163
"Hombres (037)",3645,221,56,1559,1290,200,137,62,120
"Mujeres (038)",3640,768,51,1610,926,129,81,32,43
"PEA (039)",2444,227,1,846,908,134,156,43,129
"Hombres (040)",1923,100,,678,778,107,119,37,104
"Mujeres (041)",521,127,1,168,130,27,37,6,25
"Ocupada (042)",2264,220,1,784,824,126,142,42,125
"Hombres (043)",1770,93,,628,707,100,106,36,100
"Mujeres (044)",494,127,1,156,117,26,36,6,25
"Desocupada (045)",180,7,,62,84,8,14,1,4
"Hombres (046)",153,7,,50,71,7,13,1,4
"Mujeres (047)",27,,,12,13,1,1,,
"No PEA (048)",4841,762,106,2323,1308,195,62,51,34
"Hombres (049)",1722,121,56,881,512,93,18,25,16
"Mujeres (050)",3119,641,50,1442,796,102,44,26,18
