"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia HUACAYBAMBA (000)",4780,56,2102,1579,419,112,38,20,3,,451
"Conviviente (001)",1949,24,915,623,146,34,13,9,,,185
"Separado(a) (002)",214,2,92,81,19,6,2,1,,,11
"Casado(a) (003)",1798,18,823,613,162,48,15,7,1,,111
"Viudo(a) (004)",522,9,179,195,70,19,5,3,1,,41
"Divorciado(a) (005)",15,,7,5,1,,,,1,,1
"Soltero(a) (006)",282,3,86,62,21,5,3,,,,102
,,,,,,,,,,,
"URBANA (008)",897,7,389,292,78,26,9,5,,,91
"Conviviente (009)",301,3,140,87,29,5,2,2,,,33
"Separado(a) (010)",36,,19,10,4,,,1,,,2
"Casado(a) (011)",412,1,183,144,33,16,4,2,,,29
"Viudo(a) (012)",73,2,21,33,9,3,1,,,,4
"Divorciado(a) (013)",4,,2,2,,,,,,,
"Soltero(a) (014)",71,1,24,16,3,2,2,,,,23
,,,,,,,,,,,
"RURAL (016)",3883,49,1713,1287,341,86,29,15,3,,360
"Conviviente (017)",1648,21,775,536,117,29,11,7,,,152
"Separado(a) (018)",178,2,73,71,15,6,2,,,,9
"Casado(a) (019)",1386,17,640,469,129,32,11,5,1,,82
"Viudo(a) (020)",449,7,158,162,61,16,4,3,1,,37
"Divorciado(a) (021)",11,,5,3,1,,,,1,,1
"Soltero(a) (022)",211,2,62,46,18,3,1,,,,79
