"CUADRO Nº 34: POBLACIÓN DESOCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia HUANCA SANCOS (000)",174,6,52,72,41,3
"Sin nivel (001)",7,,,3,3,1
"Primaria (003)",76,4,14,30,27,1
"Secundaria (004)",69,2,32,25,9,1
"Superior no univ. incompleta (005)",4,,2,2,,
"Superior no univ. completa (006)",10,,3,5,2,
"Superior univ. incompleta (007)",2,,,2,,
"Superior univ. completa (008)",6,,1,5,,
"Hombres (010)",153,5,42,63,40,3
"Sin nivel (011)",7,,,3,3,1
"Primaria (013)",64,3,10,24,26,1
"Secundaria (014)",60,2,26,22,9,1
"Superior no univ. incompleta (015)",4,,2,2,,
"Superior no univ. completa (016)",10,,3,5,2,
"Superior univ. incompleta (017)",2,,,2,,
"Superior univ. completa (018)",6,,1,5,,
"Mujeres (020)",21,1,10,9,1,
"Primaria (023)",12,1,4,6,1,
"Secundaria (024)",9,,6,3,,
,,,,,,
"Area Urbana (030)",77,,28,33,15,1
"Sin nivel (031)",1,,,,1,
"Primaria (033)",28,,5,14,9,
"Secundaria (034)",35,,18,12,4,1
"Superior no univ. incompleta (035)",3,,2,1,,
"Superior no univ. completa (036)",6,,2,3,1,
"Superior univ. completa (038)",4,,1,3,,
"Hombres (040)",67,,21,30,15,1
"Sin nivel (041)",1,,,,1,
"Primaria (043)",25,,3,13,9,
"Secundaria (044)",28,,13,10,4,1
"Superior no univ. incompleta (045)",3,,2,1,,
"Superior no univ. completa (046)",6,,2,3,1,
"Superior univ. completa (048)",4,,1,3,,
"Mujeres (050)",10,,7,3,,
"Primaria (053)",3,,2,1,,
"Secundaria (054)",7,,5,2,,
,,,,,,
"Area Rural (060)",97,6,24,39,26,2
"Sin nivel (061)",6,,,3,2,1
"Primaria (063)",48,4,9,16,18,1
"Secundaria (064)",34,2,14,13,5,
"Superior no univ. incompleta (065)",1,,,1,,
"Superior no univ. completa (066)",4,,1,2,1,
"Superior univ. incompleta (067)",2,,,2,,
"Superior univ. completa (068)",2,,,2,,
"Hombres (070)",86,5,21,33,25,2
"Sin nivel (071)",6,,,3,2,1
"Primaria (073)",39,3,7,11,17,1
"Secundaria (074)",32,2,13,12,5,
"Superior no univ. incompleta (075)",1,,,1,,
"Superior no univ. completa (076)",4,,1,2,1,
"Superior univ. incompleta (077)",2,,,2,,
"Superior univ. completa (078)",2,,,2,,
"Mujeres (080)",11,1,3,6,1,
"Primaria (083)",9,1,2,5,1,
"Secundaria (084)",2,,1,1,,
