"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia PACASMAYO (000)",27303,392,9577,8456,3471,1304,539,163,25,,3376
"Catolica (001)",20723,271,6920,6477,2762,1066,420,134,19,,2654
"Cristiana / Evangelica (002)",5145,81,2046,1562,565,193,102,24,6,,566
"Otra (003)",708,11,285,211,85,30,8,3,,,75
"Ninguna (004)",727,29,326,206,59,15,9,2,,,81
,,,,,,,,,,,
"URBANA (006)",25494,346,8718,7901,3332,1252,522,162,25,,3236
"Catolica (007)",19431,237,6322,6073,2659,1025,410,133,19,,2553
"Cristiana / Evangelica (008)",4723,72,1838,1433,539,184,96,24,6,,531
"Otra (009)",669,11,267,202,78,28,7,3,,,73
"Ninguna (010)",671,26,291,193,56,15,9,2,,,79
,,,,,,,,,,,
"RURAL (012)",1809,46,859,555,139,52,17,1,,,140
"Catolica (013)",1292,34,598,404,103,41,10,1,,,101
"Cristiana / Evangelica (014)",422,9,208,129,26,9,6,,,,35
"Otra (015)",39,,18,9,7,2,1,,,,2
"Ninguna (016)",56,3,35,13,3,,,,,,2
