"CUADRO Nº 27: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia COTABAMBAS (000)",7522,1476,1373,3033,38,1447,155
"Sin nivel (001)",1316,3,157,667,5,448,36
"Educación inicial (002)",17,,2,4,,10,1
"Primaria (003)",2616,51,520,1303,16,652,74
"Secundaria (004)",1992,230,562,864,12,287,37
"Superior no univ. incompleta (005)",240,108,48,60,1,20,3
"Superior no univ. completa (006)",695,539,65,67,3,17,4
"Superior univ. incompleta (007)",100,56,12,27,,5,
"Superior univ. completa (008)",546,489,7,41,1,8,
"Hombres (010)",5534,965,1244,2355,23,928,19
"Sin nivel (011)",722,1,108,428,1,181,3
"Educación inicial (012)",9,,2,2,,5,
"Primaria (013)",2104,31,465,1107,11,484,6
"Secundaria (014)",1642,181,543,682,6,225,5
"Superior no univ. incompleta (015)",182,80,45,39,1,14,3
"Superior no univ. completa (016)",453,329,63,46,3,10,2
"Superior univ. incompleta (017)",74,40,11,20,,3,
"Superior univ. completa (018)",348,303,7,31,1,6,
"Mujeres (020)",1988,511,129,678,15,519,136
"Sin nivel (021)",594,2,49,239,4,267,33
"Educación inicial (022)",8,,,2,,5,1
"Primaria (023)",512,20,55,196,5,168,68
"Secundaria (024)",350,49,19,182,6,62,32
"Superior no univ. incompleta (025)",58,28,3,21,,6,
"Superior no univ. completa (026)",242,210,2,21,,7,2
"Superior univ. incompleta (027)",26,16,1,7,,2,
"Superior univ. completa (028)",198,186,,10,,2,
,,,,,,,
"URBANA (030)",3456,1245,716,1057,22,345,71
"Sin nivel (031)",215,,48,102,1,60,4
"Educación inicial (032)",3,,,2,,,1
"Primaria (033)",770,34,186,357,7,157,29
"Secundaria (034)",1080,164,362,424,9,91,30
"Superior no univ. incompleta (035)",201,94,39,49,1,15,3
"Superior no univ. completa (036)",604,466,62,57,3,12,4
"Superior univ. incompleta (037)",95,53,12,27,,3,
"Superior univ. completa (038)",488,434,7,39,1,7,
"Hombres (040)",2348,804,657,666,16,192,13
"Sin nivel (041)",98,,33,42,,23,
"Educación inicial (042)",1,,,1,,,
"Primaria (043)",502,16,161,221,6,95,3
"Secundaria (044)",824,128,347,285,5,54,5
"Superior no univ. incompleta (045)",152,70,38,31,1,9,3
"Superior no univ. completa (046)",387,280,60,37,3,5,2
"Superior univ. incompleta (047)",70,38,11,20,,1,
"Superior univ. completa (048)",314,272,7,29,1,5,
"Mujeres (050)",1108,441,59,391,6,153,58
"Sin nivel (051)",117,,15,60,1,37,4
"Educación inicial (052)",2,,,1,,,1
"Primaria (053)",268,18,25,136,1,62,26
"Secundaria (054)",256,36,15,139,4,37,25
"Superior no univ. incompleta (055)",49,24,1,18,,6,
"Superior no univ. completa (056)",217,186,2,20,,7,2
"Superior univ. incompleta (057)",25,15,1,7,,2,
"Superior univ. completa (058)",174,162,,10,,2,
,,,,,,,
"RURAL (060)",4066,231,657,1976,16,1102,84
"Sin nivel (061)",1101,3,109,565,4,388,32
"Educación inicial (062)",14,,2,2,,10,
"Primaria (063)",1846,17,334,946,9,495,45
"Secundaria (064)",912,66,200,440,3,196,7
"Superior no univ. incompleta (065)",39,14,9,11,,5,
"Superior no univ. completa (066)",91,73,3,10,,5,
"Superior univ. incompleta (067)",5,3,,,,2,
"Superior univ. completa (068)",58,55,,2,,1,
"Hombres (070)",3186,161,587,1689,7,736,6
"Sin nivel (071)",624,1,75,386,1,158,3
"Educación inicial (072)",8,,2,1,,5,
"Primaria (073)",1602,15,304,886,5,389,3
"Secundaria (074)",818,53,196,397,1,171,
"Superior no univ. incompleta (075)",30,10,7,8,,5,
"Superior no univ. completa (076)",66,49,3,9,,5,
"Superior univ. incompleta (077)",4,2,,,,2,
"Superior univ. completa (078)",34,31,,2,,1,
"Mujeres (080)",880,70,70,287,9,366,78
"Sin nivel (081)",477,2,34,179,3,230,29
"Educación inicial (082)",6,,,1,,5,
"Primaria (083)",244,2,30,60,4,106,42
"Secundaria (084)",94,13,4,43,2,25,7
"Superior no univ. incompleta (085)",9,4,2,3,,,
"Superior no univ. completa (086)",25,24,,1,,,
"Superior univ. incompleta (087)",1,1,,,,,
"Superior univ. completa (088)",24,24,,,,,
