"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia HUANUCO (000)",5307,1349,3958
"De 14 a 29 años (001)",3018,1107,1911
"De 30 a 44 años (002)",1457,206,1251
"De 45 a 64 años (003)",662,36,626
"De 65 y más años (004)",170,,170
"Hombres (005)",3379,740,2639
"De 14 a 29 años (006)",1836,610,1226
"De 30 a 44 años (007)",926,111,815
"De 45 a 64 años (008)",478,19,459
"De 65 y más años (009)",139,,139
"Mujeres (010)",1928,609,1319
"De 14 a 29 años (011)",1182,497,685
"De 30 a 44 años (012)",531,95,436
"De 45 a 64 años (013)",184,17,167
"De 65 y más años (014)",31,,31
,,,
"AREA URBANA (015)",3627,987,2640
"De 14 a 29 años (016)",1940,802,1138
"De 30 a 44 años (017)",1059,156,903
"De 45 a 64 años (018)",506,29,477
"De 65 y más años (019)",122,,122
"Hombres (020)",2185,509,1676
"De 14 a 29 años (021)",1109,419,690
"De 30 a 44 años (022)",617,76,541
"De 45 a 64 años (023)",356,14,342
"De 65 y más años (024)",103,,103
"Mujeres (025)",1442,478,964
"De 14 a 29 años (026)",831,383,448
"De 30 a 44 años (027)",442,80,362
"De 45 a 64 años (028)",150,15,135
"De 65 y más años (029)",19,,19
,,,
"AREA RURAL (030)",1680,362,1318
"De 14 a 29 años (031)",1078,305,773
"De 30 a 44 años (032)",398,50,348
"De 45 a 64 años (033)",156,7,149
"De 65 y más años (034)",48,,48
"Hombres (035)",1194,231,963
"De 14 a 29 años (036)",727,191,536
"De 30 a 44 años (037)",309,35,274
"De 45 a 64 años (038)",122,5,117
"De 65 y más años (039)",36,,36
"Mujeres (040)",486,131,355
"De 14 a 29 años (041)",351,114,237
"De 30 a 44 años (042)",89,15,74
"De 45 a 64 años (043)",34,2,32
"De 65 y más años (044)",12,,12
