"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia CAÑETE (000)",47175,36547,10628
"Red pública dentro de la vivienda (001)",25897,24126,1771
"Red pública fuera de la vivienda (002)",2394,2033,361
"Pilón de uso público (003)",2101,1233,868
"Camión - cisterna u otro similar (004)",4231,1993,2238
"Pozo (005)",5022,3324,1698
"Río, acequia, manatial o similar (006)",4580,2634,1946
"Vecino (007)",2237,974,1263
"Otro (008)",713,230,483
,,,
"URBANA (010)",38924,31963,6961
"Red pública dentro de la vivienda (011)",24570,23055,1515
"Red pública fuera de la vivienda (012)",2129,1818,311
"Pilón de uso público (013)",1826,1092,734
"Camión - cisterna u otro similar (014)",3476,1804,1672
"Pozo (015)",1977,1445,532
"Río, acequia, manatial o similar (016)",2349,1657,692
"Vecino (017)",1960,879,1081
"Otro (018)",637,213,424
,,,
"RURAL (020)",8251,4584,3667
"Red pública dentro de la vivienda (021)",1327,1071,256
"Red pública fuera de la vivienda (022)",265,215,50
"Pilón de uso público (023)",275,141,134
"Camión - cisterna u otro similar (024)",755,189,566
"Pozo (025)",3045,1879,1166
"Río, acequia, manatial o similar (026)",2231,977,1254
"Vecino (027)",277,95,182
"Otro (028)",76,17,59
