"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia YUNGUYO (000)",18617,18045,5894,1891,2014,1885,2839,2000,1522,572
"Católica (001)",15023,14572,4880,1548,1704,1514,2255,1520,1151,451
"Cristiana/Evangélica (002)",2744,2662,762,253,221,280,457,393,296,82
"Otra (003)",496,468,132,47,52,50,77,59,51,28
"Ninguna (004)",354,343,120,43,37,41,50,28,24,11
,,,,,,,,,,
"URBANA (006)",6850,6574,2211,882,928,771,908,517,357,276
"Católica (007)",5701,5474,1841,744,803,641,758,407,280,227
"Cristiana/Evangélica (008)",707,684,227,84,69,81,107,76,40,23
"Otra (009)",280,258,84,32,36,25,34,23,24,22
"Ninguna (010)",162,158,59,22,20,24,9,11,13,4
,,,,,,,,,,
"RURAL (012)",11767,11471,3683,1009,1086,1114,1931,1483,1165,296
"Católica (013)",9322,9098,3039,804,901,873,1497,1113,871,224
"Cristiana/Evangélica (014)",2037,1978,535,169,152,199,350,317,256,59
"Otra (015)",216,210,48,15,16,25,43,36,27,6
"Ninguna (016)",192,185,61,21,17,17,41,17,11,7
