"CUADRO Nº 9: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR CONDICIÓN DE ALFABETISMO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD NORMATIVA DE ESTUDIOS",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y EDAD NORMATIVA DE ESTUDIOS",TOTAL,"CONDICIÓN DE ALFABETISMO",
,,"SABE LEER Y ESCRIBIR","NO SABE LEER NI ESCRIBIR"
,,,
"Provincia CASMA (000)",18197,15426,2771
"De 3 a 5 años (001)",2403,205,2198
"De 6 a 11 años (002)",4916,4588,328
"De 12 a 16 años (003)",4743,4675,68
"De 17 a 24 años (004)",6135,5958,177
"Hombres (005)",9432,8004,1428
"De 3 a 5 años (006)",1260,96,1164
"De 6 a 11 años (007)",2571,2398,173
"De 12 a 16 años (008)",2402,2372,30
"De 17 a 24 años (009)",3199,3138,61
"Mujeres (010)",8765,7422,1343
"De 3 a 5 años (011)",1143,109,1034
"De 6 a 11 años (012)",2345,2190,155
"De 12 a 16 años (013)",2341,2303,38
"De 17 a 24 años (014)",2936,2820,116
,,,
"URBANA (015)",12374,10553,1821
"De 3 a 5 años (016)",1629,152,1477
"De 6 a 11 años (017)",3333,3120,213
"De 12 a 16 años (018)",3147,3111,36
"De 17 a 24 años (019)",4265,4170,95
"Hombres (020)",6355,5408,947
"De 3 a 5 años (021)",867,70,797
"De 6 a 11 años (022)",1730,1621,109
"De 12 a 16 años (023)",1604,1592,12
"De 17 a 24 años (024)",2154,2125,29
"Mujeres (025)",6019,5145,874
"De 3 a 5 años (026)",762,82,680
"De 6 a 11 años (027)",1603,1499,104
"De 12 a 16 años (028)",1543,1519,24
"De 17 a 24 años (029)",2111,2045,66
,,,
"RURAL (030)",5823,4873,950
"De 3 a 5 años (031)",774,53,721
"De 6 a 11 años (032)",1583,1468,115
"De 12 a 16 años (033)",1596,1564,32
"De 17 a 24 años (034)",1870,1788,82
"Hombres (035)",3077,2596,481
"De 3 a 5 años (036)",393,26,367
"De 6 a 11 años (037)",841,777,64
"De 12 a 16 años (038)",798,780,18
"De 17 a 24 años (039)",1045,1013,32
"Mujeres (040)",2746,2277,469
"De 3 a 5 años (041)",381,27,354
"De 6 a 11 años (042)",742,691,51
"De 12 a 16 años (043)",798,784,14
"De 17 a 24 años (044)",825,775,50
