"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CONTUMAZA (000)",29180,3665,650,15676,6187,641,1492,276,593
"Jefe o Jefa (001)",8258,650,5,5017,1544,161,544,69,268
"Esposa(o)/ compa¤era(o) (002)",5060,628,5,3074,856,77,296,26,98
"Hijo(a)/ hijastro(a) (003)",11475,1557,465,5521,2855,320,467,143,147
"Yerno/ nuera (004)",500,13,,211,165,16,62,9,24
"Nieto(a) (005)",1660,407,139,742,310,21,25,12,4
"Padres/ suegros (006)",397,146,,230,12,2,5,,2
"Otro(a) pariente (007)",1537,237,35,752,374,33,66,12,28
"Trabajador(a) del hogar (008)",37,1,,28,8,,,,
"Pensionista (009)",15,,,,4,1,5,2,3
"Otro(a) no pariente (010)",241,26,1,101,59,10,22,3,19
"Hombres (012)",14807,1458,303,8048,3481,325,713,151,328
"Jefe o Jefa (013)",6287,317,3,3922,1239,129,420,52,205
"Esposa(o)/ compa¤era(o) (014)",206,11,,104,58,8,13,5,7
"Hijo(a)/ hijastro(a) (015)",6125,793,219,2985,1641,155,188,68,76
"Yerno/ nuera (016)",235,3,,88,80,9,37,5,13
"Nieto(a) (017)",874,206,65,388,189,8,9,8,1
"Padres/ suegros (018)",106,17,,80,6,,2,,1
"Otro(a) pariente (019)",826,100,15,414,228,12,31,8,18
"Trabajador(a) del hogar (020)",1,,,1,,,,,
"Pensionista (021)",6,,,,3,,1,2,
"Otro(a) no pariente (022)",141,11,1,66,37,4,12,3,7
"Mujeres (024)",14373,2207,347,7628,2706,316,779,125,265
"Jefe o Jefa (025)",1971,333,2,1095,305,32,124,17,63
"Esposa(o)/ compa¤era(o) (026)",4854,617,5,2970,798,69,283,21,91
"Hijo(a)/ hijastro(a) (027)",5350,764,246,2536,1214,165,279,75,71
"Yerno/ nuera (028)",265,10,,123,85,7,25,4,11
"Nieto(a) (029)",786,201,74,354,121,13,16,4,3
"Padres/ suegros (030)",291,129,,150,6,2,3,,1
"Otro(a) pariente (031)",711,137,20,338,146,21,35,4,10
"Trabajador(a) del hogar (032)",36,1,,27,8,,,,
"Pensionista (033)",9,,,,1,1,4,,3
"Otro(a) no pariente (034)",100,15,,35,22,6,10,,12
,,,,,,,,,
"URBANA (036)",12311,1031,295,4781,3672,494,1259,236,543
"Jefe o Jefa (037)",3546,170,3,1555,917,125,469,61,246
"Esposa(o)/ compa¤era(o) (038)",2012,126,3,927,514,64,264,22,92
"Hijo(a)/ hijastro(a) (039)",4603,456,195,1459,1640,236,367,120,130
"Yerno/ nuera (040)",221,2,,37,86,11,56,7,22
"Nieto(a) (041)",739,135,75,294,189,17,16,9,4
"Padres/ suegros (042)",199,53,,128,9,2,5,,2
"Otro(a) pariente (043)",779,82,18,300,257,28,56,12,26
"Trabajador(a) del hogar (044)",34,1,,26,7,,,,
"Pensionista (045)",13,,,,4,1,4,2,2
"Otro(a) no pariente (046)",165,6,1,55,49,10,22,3,19
"Hombres (048)",6061,420,138,2271,1972,241,584,136,299
