"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia BOLOGNESI (000)",7998,107,3073,2671,813,305,132,72,16,,809
"Catolica (001)",6497,94,2506,2156,659,263,109,49,11,,650
"Cristiana / Evangelica (002)",1103,9,425,382,106,31,17,16,4,,113
"Otra (003)",318,3,112,105,41,9,6,6,1,,35
"Ninguna (004)",80,1,30,28,7,2,,1,,,11
,,,,,,,,,,,
"URBANA (006)",5229,75,1906,1764,558,213,105,53,16,,539
"Catolica (007)",4173,65,1500,1420,455,183,86,36,11,,417
"Cristiana / Evangelica (008)",779,7,307,257,71,22,13,10,4,,88
"Otra (009)",213,2,73,66,27,7,6,6,1,,25
"Ninguna (010)",64,1,26,21,5,1,,1,,,9
,,,,,,,,,,,
"RURAL (012)",2769,32,1167,907,255,92,27,19,,,270
"Catolica (013)",2324,29,1006,736,204,80,23,13,,,233
"Cristiana / Evangelica (014)",324,2,118,125,35,9,4,6,,,25
"Otra (015)",105,1,39,39,14,2,,,,,10
"Ninguna (016)",16,,4,7,2,1,,,,,2
