"CUADRO Nº 9: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR TIPO DE ABASTECIMIENTO DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"TIPO DE ABASTECIMIENTO DE AGUA",,,,,,,
,,"RED PÚBLICA DENTRO DE LA VIVIENDA (AGUA POTABLE)","RED PÚBLICA FUERA DE LA VIVIENDA PERO DENTRO DE LA EDIFICACIÓN (AGUA POTABLE)","PILÓN DE USO PÚBLICO (AGUA POTABLE)","CAMIÓN-CISTERNA U OTRO SIMILAR",POZO,"RÍO, ACEQUIA, MANANTIAL O SIMILAR",VECINO,OTRO
,,,,,,,,,
"Provincia SECHURA",,,,,,,,,
"Viviendas particulares (001)",14059,9675,474,948,259,867,26,1604,206
"Ocupantes presentes (002)",61873,45799,2129,3071,1109,3268,80,5778,639
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",13157,9593,448,610,205,718,17,1402,164
"Ocupantes presentes (005)",58775,45507,2042,2046,916,2670,41,5044,509
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",9,7,2,,,,,,
"Ocupantes presentes (008)",22,18,4,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",4,1,3,,,,,,
"Ocupantes presentes (011)",10,1,9,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",2,2,,,,,,,
"Ocupantes presentes (014)",8,8,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",304,,,28,53,139,8,62,14
"Ocupantes presentes (017)",1262,,,126,192,567,33,297,47
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",571,69,21,310,1,6,1,137,26
"Ocupantes presentes (020)",1768,262,74,899,1,14,6,431,81
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",10,3,,,,4,,1,2
"Ocupantes presentes (023)",26,3,,,,17,,4,2
"Otro tipo",,,,,,,,,
"Viviendas particulares (025)",2,,,,,,,2,
"Ocupantes presentes (026)",2,,,,,,,2,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",13190,9442,472,916,29,642,4,1505,180
"Ocupantes presentes (029)",58051,44649,2115,2932,110,2326,15,5359,545
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",12593,9360,446,606,28,633,3,1365,152
"Ocupantes presentes (032)",56216,44357,2028,2033,109,2296,9,4922,462
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",9,7,2,,,,,,
"Ocupantes presentes (035)",22,18,4,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",4,1,3,,,,,,
"Ocupantes presentes (038)",10,1,9,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",2,2,,,,,,,
"Ocupantes presentes (041)",8,8,,,,,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",571,69,21,310,1,6,1,137,26
"Ocupantes presentes (047)",1768,262,74,899,1,14,6,431,81
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",9,3,,,,3,,1,2
"Ocupantes presentes (050)",25,3,,,,16,,4,2
"Otro tipo",,,,,,,,,
"Viviendas particulares (052)",2,,,,,,,2,
"Ocupantes presentes (053)",2,,,,,,,2,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",869,233,2,32,230,225,22,99,26
"Ocupantes presentes (056)",3822,1150,14,139,999,942,65,419,94
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",564,233,2,4,177,85,14,37,12
"Ocupantes presentes (059)",2559,1150,14,13,807,374,32,122,47
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",304,,,28,53,139,8,62,14
"Ocupantes presentes (071)",1262,,,126,192,567,33,297,47
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",1,,,,,1,,,
"Ocupantes presentes (077)",1,,,,,1,,,
"Otro tipo",,,,,,,,,
