"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia CHURCAMPA (000)",471,9,246,121,79,16
"Conviviente (001)",102,,60,30,10,2
"Separado(a) (002)",17,,5,9,3,
"Casado(a) (003)",157,,30,56,58,13
"Viudo(a) (004)",11,,2,4,4,1
"Divorciado(a) (005)",2,,1,,1,
"Soltero(a) (006)",182,9,148,22,3,
"Hombres (008)",377,6,184,100,72,15
"Conviviente (009)",89,,50,29,8,2
"Separado(a) (010)",12,,3,6,3,
"Casado(a) (011)",139,,22,50,55,12
"Viudo(a) (012)",5,,1,1,2,1
"Divorciado(a) (013)",2,,1,,1,
"Soltero(a) (014)",130,6,107,14,3,
"Mujeres (016)",94,3,62,21,7,1
"Conviviente (017)",13,,10,1,2,
"Separado(a) (018)",5,,2,3,,
"Casado(a) (019)",18,,8,6,3,1
"Viudo(a) (020)",6,,1,3,2,
"Soltero(a) (022)",52,3,41,8,,
,,,,,,
"AREA URBANA (024)",181,5,87,48,37,4
"Conviviente (025)",44,,27,14,3,
"Separado(a) (026)",4,,,3,1,
"Casado(a) (027)",53,,5,16,28,4
"Viudo(a) (028)",5,,,3,2,
"Divorciado(a) (029)",2,,1,,1,
"Soltero(a) (030)",73,5,54,12,2,
"Hombres (032)",138,3,59,40,32,4
"Conviviente (033)",36,,20,13,3,
"Separado(a) (034)",3,,,2,1,
"Casado(a) (035)",47,,4,14,25,4
"Viudo(a) (036)",1,,,1,,
"Divorciado(a) (037)",2,,1,,1,
"Soltero(a) (038)",49,3,34,10,2,
"Mujeres (040)",43,2,28,8,5,
"Conviviente (041)",8,,7,1,,
"Separado(a) (042)",1,,,1,,
"Casado(a) (043)",6,,1,2,3,
"Viudo(a) (044)",4,,,2,2,
"Soltero(a) (046)",24,2,20,2,,
,,,,,,
"AREA RURAL (048)",290,4,159,73,42,12
"Conviviente (049)",58,,33,16,7,2
"Separado(a) (050)",13,,5,6,2,
"Casado(a) (051)",104,,25,40,30,9
"Viudo(a) (052)",6,,2,1,2,1
"Soltero(a) (054)",109,4,94,10,1,
"Hombres (056)",239,3,125,60,40,11
"Conviviente (057)",53,,30,16,5,2
"Separado(a) (058)",9,,3,4,2,
"Casado(a) (059)",92,,18,36,30,8
"Viudo(a) (060)",4,,1,,2,1
"Soltero(a) (062)",81,3,73,4,1,
"Mujeres (064)",51,1,34,13,2,1
"Conviviente (065)",5,,3,,2,
"Separado(a) (066)",4,,2,2,,
"Casado(a) (067)",12,,7,4,,1
"Viudo(a) (068)",2,,1,1,,
"Soltero(a) (070)",28,1,21,6,,
