"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia HUARI (000)",19984,6229,13755
"Casa independiente (001)",19080,6160,12920
"Departamento en edificio (002)",10,10,
"Vivienda en quinta (003)",14,14,
"Vivienda en casa de vecindad (004)",21,21,
"Choza o cabaña (005)",833,,833
"Vivienda improvisada (006)",9,9,
"Local no dest.para hab. humana (007)",12,10,2
"Otro tipo (008)",5,5,
