"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia SANCHEZ CARRION (000)",46943,45590,14860,5237,4681,4153,6467,4806,3276,2110,1353,137770
"De 12 a 14 años (001)",5828,5805,5776,23,6,,,,,,23,35
"De 15 a 19 años (002)",7023,6930,5898,890,125,12,5,,,,93,1196
"De 20 a 24 años (003)",5699,5252,1799,1826,1092,415,113,7,,,447,5772
"De 25 a 29 años (004)",4624,4295,476,972,1200,898,667,76,6,,329,9456
"De 30 a 34 años (005)",4252,4125,200,523,778,902,1248,415,54,5,127,13406
"De 35 a 39 años (006)",4054,3978,146,300,500,607,1293,792,286,54,76,16909
"De 40 a 44 años (007)",3300,3247,100,164,296,426,861,759,490,151,53,16531
"De 45 a 49 años (008)",2637,2597,83,115,181,267,585,605,477,284,40,14931
"De 50 y más años (009)",9526,9361,382,424,503,626,1695,2152,1963,1616,165,59534
"PEA (010)",7723,7317,2226,1109,1030,779,1000,598,366,209,406,19169
"De 12 a 14 años (011)",311,309,306,3,,,,,,,2,3
"De 15 a 19 años (012)",1121,1114,1002,95,15,1,1,,,,7,132
"De 20 a 24 años (013)",1071,918,484,281,111,34,6,2,,,153,643
"De 25 a 29 años (014)",951,822,186,254,212,101,63,6,,,129,1287
"De 30 a 34 años (015)",846,804,78,172,205,152,150,40,6,1,42,2009
"De 35 a 39 años (016)",888,860,54,129,187,148,224,84,28,6,28,2774
"De 40 a 44 años (017)",732,715,31,56,132,139,188,91,64,14,17,2844
"De 45 a 49 años (018)",533,521,21,35,74,87,132,83,61,28,12,2372
"De 50 y más años (019)",1270,1254,64,84,94,117,236,292,207,160,16,7105
"Ocupada (020)",7369,7001,2025,1067,1000,770,982,589,364,204,368,18825
"De 12 a 14 años (021)",289,287,284,3,,,,,,,2,3
