"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia SAN IGNACIO (000)",862,827,35
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",123,123,
"Casa pensión (003)",11,10,1
"Hospital, clinica (004)",30,30,
"Cárcel, centro de readaptación social (005)",44,44,
"Otro (008)",346,322,24
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",308,298,10
