"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia DOS DE MAYO (000)",12132,10082,759,244,1047
"Agric., ganadería, caza y silvicultura (001)",8362,7824,503,30,5
"Pesca (002)",4,4,,,
"Explotación de minas y canteras (003)",57,7,3,18,29
"Industrias manufactureras (004)",306,245,19,30,12
"Suministro de electricidad, gas y agua (005)",2,,,2,
"Construcción (006)",283,185,57,33,8
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",857,826,24,6,1
"Venta, mant.y rep. veh.autom y motoc. (008)",41,38,1,2,
"Comercio al por mayor (009)",31,27,2,1,1
"Comercio al por menor (010)",785,761,21,3,
"Hoteles y restaurantes (011)",197,189,7,,1
"Trans., almac. y comunicaciones (012)",231,197,16,6,12
"Intermediación financiera (013)",5,1,,,4
"Activid.inmobil., empres. y alquileres (014)",63,38,5,8,12
"Admin.pub. y defensa; p. segur soc.afil (015)",225,,,,225
"Enseñanza (016)",843,86,101,87,569
"Servicios sociales y de salud (017)",173,14,,1,158
"Otras activ. serv.comun.soc y personales (018)",72,47,7,16,2
"Hogares privados con servicio doméstico (019)",165,165,,,
"Actividad economica no especificada (021)",287,254,17,7,9
"Hombres (022)",9014,7605,604,190,615
"Agric., ganadería, caza y silvicultura (023)",6817,6372,417,25,3
"Pesca (024)",4,4,,,
"Explotación de minas y canteras (025)",56,7,3,18,28
"Industrias manufactureras (026)",262,205,17,28,12
"Suministro de electricidad, gas y agua (027)",2,,,2,
"Construcción (028)",280,183,56,33,8
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",401,378,17,5,1
"Venta, mant.y rep. veh.autom y motoc. (030)",39,36,1,2,
"Comercio al por mayor (031)",25,22,1,1,1
"Comercio al por menor (032)",337,320,15,2,
"Hoteles y restaurantes (033)",37,35,1,,1
"Trans., almac. y comunicaciones (034)",223,189,16,6,12
"Intermediación financiera (035)",3,1,,,2
"Activid.inmobil., empres. y alquileres (036)",53,33,5,7,8
"Admin.pub. y defensa; p. segur soc.afil (037)",174,,,,174
"Enseñanza (038)",452,44,57,53,298
"Servicios sociales y de salud (039)",66,5,,,61
"Otras activ. serv.comun.soc y personales (040)",41,26,6,9,
"Hogares privados con servicio doméstico (041)",24,24,,,
"Actividad economica no especificada (043)",119,99,9,4,7
