"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CHEPEN (000)",21449,20206,64,4679,4821,3781,3929,1861,787,284,1243,64493
"De 12 a 14 años (001)",28,11,1,9,1,,,,,,17,11
"De 15 a 19 años (002)",560,480,3,428,42,7,,,,,80,533
"De 20 a 24 años (003)",2048,1693,8,1144,438,78,21,4,,,355,2366
"De 25 a 29 años (004)",2532,2228,7,984,807,327,102,1,,,304,4011
"De 30 a 34 años (005)",2686,2525,9,679,944,578,282,29,4,,161,5712
"De 35 a 39 años (006)",2652,2579,7,436,825,711,523,65,12,,73,6981
"De 40 a 44 años (007)",2373,2302,2,287,625,633,543,177,31,4,71,7209
"De 45 a 49 años (008)",1961,1900,3,193,411,444,585,199,49,16,61,6767
"De 50 y más años (009)",6609,6488,24,519,728,1003,1873,1386,691,264,121,30903
"PEA (010)",6461,5931,22,1531,1639,1173,1010,386,129,41,530,16719
"De 12 a 14 años (011)",4,1,,1,,,,,,,3,1
"De 15 a 19 años (012)",94,74,,65,6,3,,,,,20,86
"De 20 a 24 años (013)",544,389,3,264,101,13,7,1,,,155,541
"De 25 a 29 años (014)",770,608,3,322,206,57,19,1,,,162,990
"De 30 a 34 años (015)",922,835,7,277,309,156,75,10,1,,87,1757
"De 35 a 39 años (016)",1087,1056,2,225,349,274,173,30,3,,31,2696
"De 40 a 44 años (017)",935,906,1,148,285,241,163,56,11,1,29,2598
"De 45 a 49 años (018)",777,755,,88,194,173,211,67,18,4,22,2550
"De 50 y más años (019)",1328,1307,6,141,189,256,362,221,96,36,21,5500
"Ocupada (020)",6242,5763,21,1469,1593,1146,986,382,126,40,479,16324
"De 12 a 14 años (021)",4,1,,1,,,,,,,3,1
