"CUADRO Nº 1: POBLACIÓN TOTAL, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia BOLIVAR (000)",16650,7711,1826,145,6975
"Menos de 1 año (001)",434,236,44,5,149
"De 1 a 14 años (002)",6627,4099,832,37,1663
"De 15 a 29 años (003)",3672,1401,292,39,1941
"De 30 a 44 años (004)",2800,1016,378,30,1377
"De 45 a 64 años (005)",2152,671,240,22,1220
"De 65 y mas años (006)",965,288,40,12,625
"Hombres (008)",8607,3780,926,82,3823
"Menos de 1 año (009)",225,128,27,3,67
"De 1 a 14 años (010)",3422,2116,432,20,856
"De 15 a 29 años (011)",1917,628,140,20,1129
"De 30 a 44 años (012)",1407,453,163,17,775
"De 45 a 64 años (013)",1155,323,143,14,676
"De 65 y mas años (014)",481,132,21,8,320
"Mujeres (016)",8043,3931,900,63,3152
"Menos de 1 año (017)",209,108,17,2,82
"De 1 a 14 años (018)",3205,1983,400,17,807
"De 15 a 29 años (019)",1755,773,152,19,812
"De 30 a 44 años (020)",1393,563,215,13,602
"De 45 a 64 años (021)",997,348,97,8,544
"De 65 y mas años (022)",484,156,19,4,305
,,,,,
"URBANA (024)",5754,2366,929,99,2366
"Menos de 1 año (025)",124,78,15,4,27
"De 1 a 14 años (026)",2036,1187,315,27,510
"De 15 a 29 años (027)",1271,446,147,23,656
"De 30 a 44 años (028)",1064,283,256,24,502
"De 45 a 64 años (029)",893,255,173,16,450
"De 65 y mas años (030)",366,117,23,5,221
"Hombres (032)",2907,1106,474,56,1275
"Menos de 1 año (033)",63,39,8,3,13
"De 1 a 14 años (034)",1027,601,161,14,253
"De 15 a 29 años (035)",644,193,74,10,367
"De 30 a 44 años (036)",524,112,112,16,285
"De 45 a 64 años (037)",476,115,106,10,246
"De 65 y mas años (038)",173,46,13,3,111
"Mujeres (040)",2847,1260,455,43,1091
"Menos de 1 año (041)",61,39,7,1,14
"De 1 a 14 años (042)",1009,586,154,13,257
"De 15 a 29 años (043)",627,253,73,13,289
"De 30 a 44 años (044)",540,171,144,8,217
"De 45 a 64 años (045)",417,140,67,6,204
"De 65 y mas años (046)",193,71,10,2,110
,,,,,
"RURAL (048)",10896,5345,897,46,4609
"Menos de 1 año (049)",310,158,29,1,122
"De 1 a 14 años (050)",4591,2912,517,10,1153
"De 15 a 29 años (051)",2401,955,145,16,1285
"De 30 a 44 años (052)",1736,733,122,6,875
"De 45 a 64 años (053)",1259,416,67,6,770
"De 65 y mas años (054)",599,171,17,7,404
"Hombres (056)",5700,2674,452,26,2548
"Menos de 1 año (057)",162,89,19,,54
"De 1 a 14 años (058)",2395,1515,271,6,603
"De 15 a 29 años (059)",1273,435,66,10,762
"De 30 a 44 años (060)",883,341,51,1,490
"De 45 a 64 años (061)",679,208,37,4,430
"De 65 y mas años (062)",308,86,8,5,209
"Mujeres (064)",5196,2671,445,20,2061
"Menos de 1 año (065)",148,69,10,1,68
"De 1 a 14 años (066)",2196,1397,246,4,550
"De 15 a 29 años (067)",1128,520,79,6,523
"De 30 a 44 años (068)",853,392,71,5,385
"De 45 a 64 años (069)",580,208,30,2,340
"De 65 y mas años (070)",291,85,9,2,195
