"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia PACASMAYO (000)",89195,11164,18178,5745,54615
"Quechua (001)",96,7,22,5,62
"Aymara (002)",21,3,4,3,13
"Asháninka (003)",8,,4,,4
"Otra lengua nativa (004)",66,4,17,1,45
"Castellano (005)",88903,11132,18113,5724,54438
"Idioma Extranjero (006)",15,,1,9,5
"Es Sordomudo/a (007)",86,18,17,3,48
"Hombres (009)",44038,5184,8970,3228,27010
"Quechua (010)",55,3,16,4,32
"Aymara (011)",11,,3,3,7
"Asháninka (012)",7,,4,,3
"Otra lengua nativa (013)",35,1,9,,25
"Castellano (014)",43887,5173,8933,3216,26917
"Idioma Extranjero (015)",9,,,5,4
"Es Sordomudo/a (016)",34,7,5,,22
"Mujeres (018)",45157,5980,9208,2517,27605
"Quechua (019)",41,4,6,1,30
"Aymara (020)",10,3,1,,6
"Asháninka (021)",1,,,,1
"Otra lengua nativa (022)",31,3,8,1,20
"Castellano (023)",45016,5959,9180,2508,27521
"Idioma Extranjero (024)",6,,1,4,1
"Es Sordomudo/a (025)",52,11,12,3,26
,,,,,
"URBANA (027)",82958,10342,17561,5628,49930
"Quechua (028)",90,6,22,5,57
"Aymara (029)",21,3,4,3,13
"Asháninka (030)",8,,4,,4
"Otra lengua nativa (031)",65,4,16,1,45
"Castellano (032)",82683,10312,17498,5607,49766
"Idioma Extranjero (033)",15,,1,9,5
"Es Sordomudo/a (034)",76,17,16,3,40
"Hombres (036)",40813,4791,8651,3155,24567
"Quechua (037)",50,3,16,4,27
"Aymara (038)",11,,3,3,7
"Asháninka (039)",7,,4,,3
"Otra lengua nativa (040)",35,1,9,,25
"Castellano (041)",40672,4780,8614,3143,24484
"Idioma Extranjero (042)",9,,,5,4
"Es Sordomudo/a (043)",29,7,5,,17
"Mujeres (045)",42145,5551,8910,2473,25363
"Quechua (046)",40,3,6,1,30
"Aymara (047)",10,3,1,,6
"Asháninka (048)",1,,,,1
"Otra lengua nativa (049)",30,3,7,1,20
"Castellano (050)",42011,5532,8884,2464,25282
"Idioma Extranjero (051)",6,,1,4,1
"Es Sordomudo/a (052)",47,10,11,3,23
,,,,,
"RURAL (054)",6237,822,617,117,4685
"Quechua (055)",6,1,,,5
"Otra lengua nativa (058)",1,,1,,
"Castellano (059)",6220,820,615,117,4672
"Es Sordomudo/a (061)",10,1,1,,8
"Hombres (063)",3225,393,319,73,2443
"Quechua (064)",5,,,,5
"Castellano (068)",3215,393,319,73,2433
"Es Sordomudo/a (070)",5,,,,5
"Mujeres (072)",3012,429,298,44,2242
"Quechua (073)",1,1,,,
"Otra lengua nativa (076)",1,,1,,
"Castellano (077)",3005,427,296,44,2239
"Es Sordomudo/a (079)",5,1,1,,3
