"CUADRO Nº 1: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia CHUPACA (000)",45901,10209,13413,9508,8118,4653
"Hombres (001)",22049,5149,6789,4370,3688,2053
"Mujeres (002)",23852,5060,6624,5138,4430,2600
"PEA (003)",19799,236,5789,6602,5382,1790
"Hombres (004)",11916,139,3688,3906,3119,1064
"Mujeres (005)",7883,97,2101,2696,2263,726
"Ocupada (006)",19037,224,5390,6377,5280,1766
"Hombres (007)",11371,132,3411,3744,3037,1047
"Mujeres (008)",7666,92,1979,2633,2243,719
"Desocupada (009)",762,12,399,225,102,24
"Hombres (010)",545,7,277,162,82,17
"Mujeres (011)",217,5,122,63,20,7
"No PEA (012)",26102,9973,7624,2906,2736,2863
"Hombres (013)",10133,5010,3101,464,569,989
"Mujeres (014)",15969,4963,4523,2442,2167,1874
,,,,,,
"URBANA (018)",27910,5876,8320,6093,4914,2707
"Hombres (019)",13556,3018,4207,2863,2287,1181
"Mujeres (020)",14354,2858,4113,3230,2627,1526
"PEA (021)",12553,151,3690,4357,3326,1029
"Hombres (022)",7491,93,2330,2542,1927,599
"Mujeres (023)",5062,58,1360,1815,1399,430
"Ocupada (024)",12055,145,3424,4211,3261,1014
"Hombres (025)",7154,89,2155,2442,1878,590
"Mujeres (026)",4901,56,1269,1769,1383,424
"Desocupada (027)",498,6,266,146,65,15
"Hombres (028)",337,4,175,100,49,9
"Mujeres (029)",161,2,91,46,16,6
"No PEA (030)",15357,5725,4630,1736,1588,1678
"Hombres (031)",6065,2925,1877,321,360,582
"Mujeres (032)",9292,2800,2753,1415,1228,1096
,,,,,,
"RURAL (036)",17991,4333,5093,3415,3204,1946
"Hombres (037)",8493,2131,2582,1507,1401,872
"Mujeres (038)",9498,2202,2511,1908,1803,1074
"PEA (039)",7246,85,2099,2245,2056,761
"Hombres (040)",4425,46,1358,1364,1192,465
"Mujeres (041)",2821,39,741,881,864,296
"Ocupada (042)",6982,79,1966,2166,2019,752
"Hombres (043)",4217,43,1256,1302,1159,457
"Mujeres (044)",2765,36,710,864,860,295
"Desocupada (045)",264,6,133,79,37,9
"Hombres (046)",208,3,102,62,33,8
"Mujeres (047)",56,3,31,17,4,1
"No PEA (048)",10745,4248,2994,1170,1148,1185
"Hombres (049)",4068,2085,1224,143,209,407
"Mujeres (050)",6677,2163,1770,1027,939,778
