"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia ANTONIO RAYMONDI (000)",3281,2482,353,244,202
"Sin nivel (001)",276,263,7,4,2
"Educación inicial (002)",3,3,,,
"Primaria (003)",1158,1058,72,11,17
"Secundaria (004)",1091,861,110,58,62
"Superior no univ. incompleta (005)",128,72,18,15,23
"Superior no univ. completa (006)",278,109,70,69,30
"Superior univ. incompleta (007)",88,39,11,7,31
"Superior univ. completa (008)",259,77,65,80,37
"De 06 a 14 años (010)",15,14,1,,
"Educación inicial (012)",1,1,,,
"Primaria (013)",12,11,1,,
"Secundaria (014)",2,2,,,
"De 15 a 29 años (020)",973,735,97,65,76
"Sin nivel (021)",19,16,1,2,
"Primaria (023)",212,201,10,,1
"Secundaria (024)",525,415,46,38,26
"Superior no univ. incompleta (025)",69,39,8,7,15
"Superior no univ. completa (026)",78,34,19,10,15
"Superior univ. incompleta (027)",33,17,2,3,11
"Superior univ. completa (028)",37,13,11,5,8
"De 30 a 44 años (030)",1077,760,147,96,74
"Sin nivel (031)",55,51,3,1,
"Educación inicial (032)",2,2,,,
"Primaria (033)",318,289,24,2,3
"Secundaria (034)",372,293,46,14,19
"Superior no univ. incompleta (035)",43,25,6,5,7
"Superior no univ. completa (036)",138,53,32,41,12
"Superior univ. incompleta (037)",29,10,4,1,14
"Superior univ. completa (038)",120,37,32,32,19
"De 45 a 64 años (040)",901,677,99,80,45
"Sin nivel (041)",122,118,1,1,2
"Primaria (043)",415,368,31,7,9
"Secundaria (044)",169,130,17,5,17
"Superior no univ. incompleta (045)",14,6,4,3,1
"Superior no univ. completa (046)",61,21,19,18,3
"Superior univ. incompleta (047)",25,11,5,3,6
"Superior univ. completa (048)",95,23,22,43,7
"De 65 y más años (050)",315,296,9,3,7
"Sin nivel (051)",80,78,2,,
"Primaria (053)",201,189,6,2,4
"Secundaria (054)",23,21,1,1,
"Superior no univ. incompleta (055)",2,2,,,
"Superior no univ. completa (056)",1,1,,,
"Superior univ. incompleta (057)",1,1,,,
"Superior univ. completa (058)",7,4,,,3
,,,,,
"URBANA (060)",1235,747,167,169,152
"Sin nivel (061)",42,38,2,1,1
"Educación inicial (062)",2,2,,,
"Primaria (063)",200,180,14,1,5
