"CUADRO Nº 15: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia CANAS (000)",9629,815,865,4932,135,2324,57,501
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",25,25,,,,,,
"Profes., científicos e intelectuales (002)",458,421,,36,,1,,
"Técnicos de nivel medio y trab. asimilados (003)",85,60,,21,3,1,,
"Jefes y empleados de oficina (004)",135,135,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",404,37,4,309,4,50,,
"Agricult.trabaj.calif.agrop.y pesqueros (006)",4148,,,4026,122,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",372,,91,177,1,103,,
"Obreros construc.,conf.,papel, fab., instr. (008)",370,25,198,121,3,23,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",2897,71,552,105,2,2110,57,
"Otra (010)",20,20,,,,,,
"Ocupaciñn no especificada (011)",214,21,20,137,,36,,
"Desocupado (012)",501,,,,,,,501
"Hombres (013)",6251,574,785,3549,90,819,16,418
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",20,20,,,,,,
"Profes., científicos e intelectuales (015)",313,289,,23,,1,,
"Técnicos de nivel medio y trab. asimilados (016)",61,40,,18,2,1,,
"Jefes y empleados de oficina (017)",106,106,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",135,18,,105,1,11,,
"Agricult.trabaj.calif.agrop.y pesqueros (019)",3139,,,3057,82,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (020)",322,,85,144,1,92,,
"Obreros construc.,conf.,papel, fab., instr. (021)",358,24,197,114,3,20,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (022)",1263,47,487,34,1,678,16,
"Otra (023)",19,19,,,,,,
"Ocupaciñn no especificada (024)",97,11,16,54,,16,,
"Desocupado (025)",418,,,,,,,418
"Mujeres (026)",3378,241,80,1383,45,1505,41,83
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",5,5,,,,,,
"Profes., científicos e intelectuales (028)",145,132,,13,,,,
"Técnicos de nivel medio y trab. asimilados (029)",24,20,,3,1,,,
"Jefes y empleados de oficina (030)",29,29,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",269,19,4,204,3,39,,
"Agricult.trabaj.calif.agrop.y pesqueros (032)",1009,,,969,40,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (033)",50,,6,33,,11,,
"Obreros construc.,conf.,papel, fab., instr. (034)",12,1,1,7,,3,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (035)",1634,24,65,71,1,1432,41,
"Otra (036)",1,1,,,,,,
"Ocupaciñn no especificada (037)",117,10,4,83,,20,,
"Desocupado (038)",83,,,,,,,83
,,,,,,,,
"URBANA (039)",1895,483,225,813,32,214,30,98
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (040)",13,13,,,,,,
"Profes., científicos e intelectuales (041)",261,241,,19,,1,,
"Técnicos de nivel medio y trab. asimilados (042)",60,41,,16,3,,,
"Jefes y empleados de oficina (043)",89,89,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (044)",257,18,,196,4,39,,
"Agricult.trabaj.calif.agrop.y pesqueros (045)",389,,,370,19,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (046)",115,,28,76,1,10,,
"Obreros construc.,conf.,papel, fab., instr. (047)",113,9,61,39,3,1,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (048)",435,44,130,71,2,158,30,
"Otra (049)",20,20,,,,,,
"Ocupaciñn no especificada (050)",45,8,6,26,,5,,
"Desocupado (051)",98,,,,,,,98
"Hombres (052)",1170,311,196,482,20,80,9,72
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (053)",11,11,,,,,,
"Profes., científicos e intelectuales (054)",163,152,,10,,1,,
"Técnicos de nivel medio y trab. asimilados (055)",41,24,,15,2,,,
"Jefes y empleados de oficina (056)",61,61,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (057)",71,9,,55,1,6,,
"Agricult.trabaj.calif.agrop.y pesqueros (058)",290,,,278,12,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (059)",97,,24,64,1,8,,
"Obreros construc.,conf.,papel, fab., instr. (060)",108,9,61,34,3,1,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (061)",217,24,106,16,1,61,9,
"Otra (062)",19,19,,,,,,
"Ocupaciñn no especificada (063)",20,2,5,10,,3,,
"Desocupado (064)",72,,,,,,,72
"Mujeres (065)",725,172,29,331,12,134,21,26
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (066)",2,2,,,,,,
"Profes., científicos e intelectuales (067)",98,89,,9,,,,
"Técnicos de nivel medio y trab. asimilados (068)",19,17,,1,1,,,
"Jefes y empleados de oficina (069)",28,28,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (070)",186,9,,141,3,33,,
"Agricult.trabaj.calif.agrop.y pesqueros (071)",99,,,92,7,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (072)",18,,4,12,,2,,
"Obreros construc.,conf.,papel, fab., instr. (073)",5,,,5,,,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (074)",218,20,24,55,1,97,21,
"Otra (075)",1,1,,,,,,
"Ocupaciñn no especificada (076)",25,6,1,16,,2,,
"Desocupado (077)",26,,,,,,,26
,,,,,,,,
"RURAL (078)",7734,332,640,4119,103,2110,27,403
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (079)",12,12,,,,,,
"Profes., científicos e intelectuales (080)",197,180,,17,,,,
"Técnicos de nivel medio y trab. asimilados (081)",25,19,,5,,1,,
"Jefes y empleados de oficina (082)",46,46,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (083)",147,19,4,113,,11,,
"Agricult.trabaj.calif.agrop.y pesqueros (084)",3759,,,3656,103,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (085)",257,,63,101,,93,,
"Obreros construc.,conf.,papel, fab., instr. (086)",257,16,137,82,,22,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (087)",2462,27,422,34,,1952,27,
"Ocupaciñn no especificada (089)",169,13,14,111,,31,,
"Desocupado (090)",403,,,,,,,403
"Hombres (091)",5081,263,589,3067,70,739,7,346
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (092)",9,9,,,,,,
"Profes., científicos e intelectuales (093)",150,137,,13,,,,
"Técnicos de nivel medio y trab. asimilados (094)",20,16,,3,,1,,
"Jefes y empleados de oficina (095)",45,45,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (096)",64,9,,50,,5,,
"Agricult.trabaj.calif.agrop.y pesqueros (097)",2849,,,2779,70,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (098)",225,,61,80,,84,,
