"CUADRO Nº 1: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR NÚMERO DE HOGARES, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HOGARES",,,,
,,1,2,3,4,"5 Y MÁS"
,,,,,,
"Provincia LA CONVENCION",,,,,,
"Viviendas particulares (001)",44022,43595,382,42,3,
"Ocupantes presentes (002)",163558,160150,2900,464,44,
"Casa independiente",,,,,,
"Viviendas particulares (004)",37199,36823,337,36,3,
"Ocupantes presentes (005)",140421,137411,2570,396,44,
"Departamento en edificio",,,,,,
"Viviendas particulares (007)",163,160,3,,,
"Ocupantes presentes (008)",481,457,24,,,
"Vivienda en quinta",,,,,,
"Viviendas particulares (010)",576,573,3,,,
"Ocupantes presentes (011)",1669,1647,22,,,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (013)",3214,3181,27,6,,
"Ocupantes presentes (014)",9611,9354,189,68,,
"Choza o cabaña",,,,,,
"Viviendas particulares (016)",2417,2410,7,,,
"Ocupantes presentes (017)",9889,9829,60,,,
"Vivienda improvisada",,,,,,
"Viviendas particulares (019)",356,352,4,,,
"Ocupantes presentes (020)",1205,1179,26,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (022)",63,62,1,,,
"Ocupantes presentes (023)",180,171,9,,,
"Otro tipo",,,,,,
"Viviendas particulares (025)",34,34,,,,
"Ocupantes presentes (026)",102,102,,,,
,,,,,,
URBANA,,,,,,
"Viviendas particulares (028)",13872,13669,176,24,3,
"Ocupantes presentes (029)",48050,46442,1307,257,44,
"Casa independiente",,,,,,
"Viviendas particulares (031)",9506,9346,139,18,3,
"Ocupantes presentes (032)",34935,33656,1046,189,44,
"Departamento en edificio",,,,,,
"Viviendas particulares (034)",163,160,3,,,
"Ocupantes presentes (035)",481,457,24,,,
"Vivienda en quinta",,,,,,
"Viviendas particulares (037)",576,573,3,,,
"Ocupantes presentes (038)",1669,1647,22,,,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (040)",3214,3181,27,6,,
"Ocupantes presentes (041)",9611,9354,189,68,,
"Choza o cabaña",,,,,,
"Vivienda improvisada",,,,,,
"Viviendas particulares (046)",356,352,4,,,
"Ocupantes presentes (047)",1205,1179,26,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (049)",41,41,,,,
"Ocupantes presentes (050)",99,99,,,,
"Otro tipo",,,,,,
"Viviendas particulares (052)",16,16,,,,
"Ocupantes presentes (053)",50,50,,,,
,,,,,,
RURAL,,,,,,
"Viviendas particulares (055)",30150,29926,206,18,,
"Ocupantes presentes (056)",115508,113708,1593,207,,
"Casa independiente",,,,,,
"Viviendas particulares (058)",27693,27477,198,18,,
"Ocupantes presentes (059)",105486,103755,1524,207,,
"Departamento en edificio",,,,,,
"Vivienda en quinta",,,,,,
"Vivienda en casa de vecindad",,,,,,
"Choza o cabaña",,,,,,
"Viviendas particulares (070)",2417,2410,7,,,
"Ocupantes presentes (071)",9889,9829,60,,,
"Vivienda improvisada",,,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (076)",22,21,1,,,
"Ocupantes presentes (077)",81,72,9,,,
"Otro tipo",,,,,,
"Viviendas particulares (079)",18,18,,,,
"Ocupantes presentes (080)",52,52,,,,
