"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia RIOJA (000)",96937,12036,2554,49643,25611,1705,2033,1173,2182
"Jefe o Jefa (001)",24912,1933,26,13638,6583,489,867,354,1022
"Esposa(o)/ compa¤era(o) (002)",17289,2254,33,9649,3937,282,513,156,465
"Hijo(a)/ hijastro(a) (003)",41441,5716,2058,20082,11599,665,428,481,412
"Yerno/ nuera (004)",1157,30,2,433,528,42,44,32,46
"Nieto(a) (005)",3202,789,279,1540,518,28,14,18,16
"Padres/ suegros (006)",979,421,,487,55,3,6,,7
"Otro(a) pariente (007)",6315,784,145,3118,1801,151,109,76,131
"Trabajador(a) del hogar (008)",198,15,1,100,76,2,2,,2
"Pensionista (009)",113,8,,37,38,4,4,11,11
"Otro(a) no pariente (010)",1331,86,10,559,476,39,46,45,70
"Hombres (012)",50148,4895,1315,25651,14570,882,1008,632,1195
"Jefe o Jefa (013)",19869,993,17,11118,5557,403,677,283,821
"Esposa(o)/ compa¤era(o) (014)",772,32,,393,253,23,20,17,34
"Hijo(a)/ hijastro(a) (015)",22363,2945,1084,10709,6695,308,198,244,180
"Yerno/ nuera (016)",506,9,,180,222,21,28,19,27
"Nieto(a) (017)",1710,408,137,826,304,18,5,7,5
"Padres/ suegros (018)",330,71,,227,25,2,1,,4
"Otro(a) pariente (019)",3696,384,72,1817,1175,85,54,35,74
"Trabajador(a) del hogar (020)",25,2,,13,8,,1,,1
"Pensionista (021)",83,8,,26,31,2,2,4,10
"Otro(a) no pariente (022)",794,43,5,342,300,20,22,23,39
"Mujeres (024)",46789,7141,1239,23992,11041,823,1025,541,987
"Jefe o Jefa (025)",5043,940,9,2520,1026,86,190,71,201
"Esposa(o)/ compa¤era(o) (026)",16517,2222,33,9256,3684,259,493,139,431
"Hijo(a)/ hijastro(a) (027)",19078,2771,974,9373,4904,357,230,237,232
"Yerno/ nuera (028)",651,21,2,253,306,21,16,13,19
"Nieto(a) (029)",1492,381,142,714,214,10,9,11,11
"Padres/ suegros (030)",649,350,,260,30,1,5,,3
"Otro(a) pariente (031)",2619,400,73,1301,626,66,55,41,57
"Trabajador(a) del hogar (032)",173,13,1,87,68,2,1,,1
"Pensionista (033)",30,,,11,7,2,2,7,1
"Otro(a) no pariente (034)",537,43,5,217,176,19,24,22,31
,,,,,,,,,
"URBANA (036)",69730,7504,1890,32775,20815,1555,1934,1121,2136
"Jefe o Jefa (037)",18389,1189,21,9211,5345,450,823,341,1009
"Esposa(o)/ compa¤era(o) (038)",12282,1251,26,6317,3314,262,499,154,459
"Hijo(a)/ hijastro(a) (039)",29094,3560,1500,12956,9236,594,403,453,392
"Yerno/ nuera (040)",860,18,1,264,424,39,40,30,44
"Nieto(a) (041)",2392,572,222,1088,438,28,13,16,15
"Padres/ suegros (042)",755,303,,388,48,3,6,,7
"Otro(a) pariente (043)",4558,525,110,2009,1477,137,100,72,128
"Trabajador(a) del hogar (044)",187,14,1,94,72,2,2,,2
"Pensionista (045)",98,8,,28,32,4,4,11,11
