"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia VICTOR FAJARDO (000)",316,115,201
"De 14 a 29 años (001)",149,88,61
"De 30 a 44 años (002)",89,22,67
"De 45 a 64 años (003)",62,5,57
"De 65 y más años (004)",16,,16
"Hombres (005)",225,63,162
"De 14 a 29 años (006)",90,47,43
"De 30 a 44 años (007)",65,12,53
"De 45 a 64 años (008)",56,4,52
"De 65 y más años (009)",14,,14
"Mujeres (010)",91,52,39
"De 14 a 29 años (011)",59,41,18
"De 30 a 44 años (012)",24,10,14
"De 45 a 64 años (013)",6,1,5
"De 65 y más años (014)",2,,2
,,,
"AREA URBANA (015)",235,86,149
"De 14 a 29 años (016)",107,66,41
"De 30 a 44 años (017)",75,16,59
"De 45 a 64 años (018)",41,4,37
"De 65 y más años (019)",12,,12
"Hombres (020)",176,57,119
"De 14 a 29 años (021)",74,44,30
"De 30 a 44 años (022)",56,10,46
"De 45 a 64 años (023)",35,3,32
"De 65 y más años (024)",11,,11
"Mujeres (025)",59,29,30
"De 14 a 29 años (026)",33,22,11
"De 30 a 44 años (027)",19,6,13
"De 45 a 64 años (028)",6,1,5
"De 65 y más años (029)",1,,1
,,,
"AREA RURAL (030)",81,29,52
"De 14 a 29 años (031)",42,22,20
"De 30 a 44 años (032)",14,6,8
"De 45 a 64 años (033)",21,1,20
"De 65 y más años (034)",4,,4
"Hombres (035)",49,6,43
"De 14 a 29 años (036)",16,3,13
"De 30 a 44 años (037)",9,2,7
"De 45 a 64 años (038)",21,1,20
"De 65 y más años (039)",3,,3
"Mujeres (040)",32,23,9
"De 14 a 29 años (041)",26,19,7
"De 30 a 44 años (042)",5,4,1
"De 65 y más años (044)",1,,1
