"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CANDARAVE (000)",3180,3104,737,495,522,386,462,276,166,60,76,8546
"De 12 a 14 años (001)",223,221,221,,,,,,,,2,
"De 15 a 19 años (002)",313,311,260,45,5,,1,,,,2,59
"De 20 a 24 años (003)",293,268,88,140,32,7,1,,,,25,229
"De 25 a 29 años (004)",313,296,50,116,85,35,8,1,1,,17,439
"De 30 a 34 años (005)",335,326,27,67,125,70,33,4,,,9,695
"De 35 a 39 años (006)",294,285,19,35,95,69,55,12,,,9,738
"De 40 a 44 años (007)",260,257,9,20,66,61,68,25,8,,3,858
"De 45 a 49 años (008)",232,230,13,17,34,52,69,34,11,,2,849
"De 50 y más años (009)",917,910,50,55,80,92,227,200,146,60,7,4679
"PEA (010)",1543,1492,245,268,292,204,226,155,82,20,51,4355
"De 12 a 14 años (011)",12,12,12,,,,,,,,,
"De 15 a 19 años (012)",80,78,58,17,2,,1,,,,2,25
"De 20 a 24 años (013)",167,149,54,76,16,3,,,,,18,117
"De 25 a 29 años (014)",180,169,42,59,45,16,6,,1,,11,230
"De 30 a 34 años (015)",185,177,22,43,56,41,12,3,,,8,348
"De 35 a 39 años (016)",170,165,16,24,66,31,22,6,,,5,380
"De 40 a 44 años (017)",161,159,6,13,43,34,40,18,5,,2,532
"De 45 a 49 años (018)",143,142,11,8,22,33,44,20,4,,1,502
"De 50 y más años (019)",445,441,24,28,42,46,101,108,72,20,4,2221
"Ocupada (020)",1506,1456,232,259,288,203,220,153,81,20,50,4288
"De 12 a 14 años (021)",12,12,12,,,,,,,,,
"De 15 a 19 años (022)",76,74,54,17,2,,1,,,,2,25
"De 20 a 24 años (023)",159,141,49,73,16,3,,,,,18,114
