"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CASMA (000)",39643,5253,1009,13614,13488,1303,1816,1236,1924
"Jefe o Jefa (001)",10832,1295,5,3850,3598,345,613,339,787
"Esposa(o)/ compa¤era(o) (002)",6985,1223,4,2320,2175,244,466,137,416
"Hijo(a)/ hijastro(a) (003)",15616,1709,752,5358,5694,531,520,562,490
"Yerno/ nuera (004)",858,22,,146,451,50,78,38,73
"Nieto(a) (005)",2239,434,177,957,554,31,13,52,21
"Padres/ suegros (006)",461,255,,171,29,,2,2,2
"Otro(a) pariente (007)",2134,250,64,677,819,81,78,83,82
"Trabajador(a) del hogar (008)",27,5,,11,9,,2,,
"Pensionista (009)",42,1,,9,12,3,6,1,10
"Otro(a) no pariente (010)",449,59,7,115,147,18,38,22,43
"Hombres (012)",20232,1975,531,7161,7529,643,784,624,985
"Jefe o Jefa (013)",7981,629,2,2939,2862,263,424,275,587
"Esposa(o)/ compa¤era(o) (014)",618,34,,224,230,30,46,11,43
"Hijo(a)/ hijastro(a) (015)",8336,863,401,2856,3274,262,214,231,235
"Yerno/ nuera (016)",421,5,,64,218,25,37,21,51
"Nieto(a) (017)",1210,233,92,532,294,19,5,30,5
"Padres/ suegros (018)",161,62,,79,15,,1,2,2
"Otro(a) pariente (019)",1219,119,34,397,526,30,36,41,36
"Trabajador(a) del hogar (020)",3,1,,2,,,,,
"Pensionista (021)",27,,,5,10,2,3,,7
"Otro(a) no pariente (022)",256,29,2,63,100,12,18,13,19
"Mujeres (024)",19411,3278,478,6453,5959,660,1032,612,939
"Jefe o Jefa (025)",2851,666,3,911,736,82,189,64,200
"Esposa(o)/ compa¤era(o) (026)",6367,1189,4,2096,1945,214,420,126,373
"Hijo(a)/ hijastro(a) (027)",7280,846,351,2502,2420,269,306,331,255
"Yerno/ nuera (028)",437,17,,82,233,25,41,17,22
"Nieto(a) (029)",1029,201,85,425,260,12,8,22,16
"Padres/ suegros (030)",300,193,,92,14,,1,,
"Otro(a) pariente (031)",915,131,30,280,293,51,42,42,46
"Trabajador(a) del hogar (032)",24,4,,9,9,,2,,
"Pensionista (033)",15,1,,4,2,1,3,1,3
"Otro(a) no pariente (034)",193,30,5,52,47,6,20,9,24
,,,,,,,,,
"URBANA (036)",27566,3035,759,8355,9700,1146,1635,1129,1807
"Jefe o Jefa (037)",7568,666,4,2291,2675,318,566,304,744
"Esposa(o)/ compa¤era(o) (038)",4706,584,3,1305,1648,220,429,125,392
"Hijo(a)/ hijastro(a) (039)",10576,1079,556,3264,3822,450,439,514,452
"Yerno/ nuera (040)",659,13,,92,332,43,73,36,70
"Nieto(a) (041)",1624,304,134,673,414,23,9,47,20
"Padres/ suegros (042)",354,179,,141,28,,2,2,2
"Otro(a) pariente (043)",1648,169,56,481,642,72,73,79,76
"Trabajador(a) del hogar (044)",22,2,,9,9,,2,,
"Pensionista (045)",41,1,,8,12,3,6,1,10
"Otro(a) no pariente (046)",368,38,6,91,118,17,36,21,41
