"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia HUAYLAS (000)",13886,141,495,1000,1597,2809,5111,2733
"De 12 a 14 años (001)",10,,,,,,3,7
"De 15 a 19 años (002)",350,,,,,,250,100
"De 20 a 24 años (003)",1313,,,,,6,880,427
"De 25 a 29 años (004)",1630,,,,,91,1176,363
"De 30 a 34 años (005)",1624,,,,,271,1073,280
"De 35 a 39 años (006)",1616,,,,12,511,863,230
"De 40 a 44 años (007)",1353,,,,71,568,552,162
"De 45 a 49 años (008)",1180,,,3,190,548,268,171
"De 50 y más años (009)",4810,141,495,997,1324,814,46,993
"PEA (010)",3493,9,54,162,417,889,1216,746
"De 12 a 14 años (011)",1,,,,,,1,
"De 15 a 19 años (012)",61,,,,,,46,15
"De 20 a 24 años (013)",271,,,,,4,159,108
"De 25 a 29 años (014)",417,,,,,29,267,121
"De 30 a 34 años (015)",460,,,,,89,287,84
"De 35 a 39 años (016)",512,,,,5,170,244,93
"De 40 a 44 años (017)",447,,,,26,210,141,70
"De 45 a 49 años (018)",404,,,3,87,188,63,63
"De 50 y más años (019)",920,9,54,159,299,199,8,192
"Ocupada (020)",3427,9,51,162,414,881,1178,732
"De 12 a 14 años (021)",1,,,,,,1,
"De 15 a 19 años (022)",58,,,,,,43,15
"De 20 a 24 años (023)",256,,,,,4,148,104
"De 25 a 29 años (024)",397,,,,,26,254,117
"De 30 a 34 años (025)",452,,,,,88,280,84
"De 35 a 39 años (026)",505,,,,5,169,242,89
"De 40 a 44 años (027)",441,,,,26,207,139,69
"De 45 a 49 años (028)",404,,,3,87,188,63,63
"De 50 y más años (029)",913,9,51,159,296,199,8,191
"Desocupada (030)",66,,3,,3,8,38,14
"De 15 a 19 años (032)",3,,,,,,3,
"De 20 a 24 años (033)",15,,,,,,11,4
"De 25 a 29 años (034)",20,,,,,3,13,4
"De 30 a 34 años (035)",8,,,,,1,7,
"De 35 a 39 años (036)",7,,,,,1,2,4
"De 40 a 44 años (037)",6,,,,,3,2,1
"De 50 y más años (039)",7,,3,,3,,,1
"No PEA (040)",10393,132,441,838,1180,1920,3895,1987
"De 12 a 14 años (041)",9,,,,,,2,7
"De 15 a 19 años (042)",289,,,,,,204,85
"De 20 a 24 años (043)",1042,,,,,2,721,319
"De 25 a 29 años (044)",1213,,,,,62,909,242
"De 30 a 34 años (045)",1164,,,,,182,786,196
"De 35 a 39 años (046)",1104,,,,7,341,619,137
"De 40 a 44 años (047)",906,,,,45,358,411,92
"De 45 a 49 años (048)",776,,,,103,360,205,108
"De 50 y más años (049)",3890,132,441,838,1025,615,38,801
