"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia ACOMAYO (000)",27357,548,10494,5305,4936,3812,2262
"Hombres (001)",13514,288,5339,2708,2467,1811,901
"Mujeres (002)",13843,260,5155,2597,2469,2001,1361
"Viviendas particulares (003)",27217,548,10494,5262,4868,3784,2261
"Hombres (004)",13412,288,5339,2679,2415,1790,901
"Mujeres (005)",13805,260,5155,2583,2453,1994,1360
"Viviendas colectivas (006)",40,,,9,25,6,
"Hombres (007)",17,,,2,13,2,
"Mujeres (008)",23,,,7,12,4,
"Otro tipo (009)",100,,,34,43,22,1
"Hombres (010)",85,,,27,39,19,
"Mujeres (011)",15,,,7,4,3,1
,,,,,,,
"URBANA (012)",14460,254,5349,2765,2659,2112,1321
"Hombres (013)",7101,135,2722,1396,1314,1008,526
"Mujeres (014)",7359,119,2627,1369,1345,1104,795
"Viviendas particulares (015)",14352,254,5349,2731,2605,2093,1320
"Hombres (016)",7029,135,2722,1376,1274,996,526
"Mujeres (017)",7323,119,2627,1355,1331,1097,794
"Viviendas colectivas (018)",40,,,9,25,6,
"Hombres (019)",17,,,2,13,2,
"Mujeres (020)",23,,,7,12,4,
"Otro tipo (021)",68,,,25,29,13,1
"Hombres (022)",55,,,18,27,10,
"Mujeres (023)",13,,,7,2,3,1
,,,,,,,
"RURAL (024)",12897,294,5145,2540,2277,1700,941
"Hombres (025)",6413,153,2617,1312,1153,803,375
"Mujeres (026)",6484,141,2528,1228,1124,897,566
"Viviendas particulares (027)",12865,294,5145,2531,2263,1691,941
"Hombres (028)",6383,153,2617,1303,1141,794,375
"Mujeres (029)",6482,141,2528,1228,1122,897,566
"Otro tipo (033)",32,,,9,14,9,
"Hombres (034)",30,,,9,12,9,
"Mujeres (035)",2,,,,2,,
