"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia VILCAS HUAMAN (000)",8879,8711,2229,909,933,796,1395,1125,1324,168
"Católica (001)",7606,7458,1938,818,789,695,1179,957,1082,148
"Cristiana/Evangélica (002)",1110,1095,246,77,123,91,196,150,212,15
"Otra (003)",42,41,8,1,6,3,2,9,12,1
"Ninguna (004)",121,117,37,13,15,7,18,9,18,4
,,,,,,,,,,
"URBANA (006)",2898,2810,761,347,313,267,451,339,332,88
"Católica (007)",2414,2340,643,300,252,227,374,290,254,74
"Cristiana/Evangélica (008)",422,413,99,41,52,35,71,44,71,9
"Otra (009)",17,16,7,,1,2,2,2,2,1
"Ninguna (010)",45,41,12,6,8,3,4,3,5,4
,,,,,,,,,,
"RURAL (012)",5981,5901,1468,562,620,529,944,786,992,80
"Católica (013)",5192,5118,1295,518,537,468,805,667,828,74
"Cristiana/Evangélica (014)",688,682,147,36,71,56,125,106,141,6
"Otra (015)",25,25,1,1,5,1,,7,10,
"Ninguna (016)",76,76,25,7,7,4,14,6,13,
