"CUADRO Nº 3: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA PARTICULAR",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL Y TIPO DE VIVIENDA PARTICULAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia TAMBOPATA (000)",74893,1788,23375,23066,15582,8976,2106
"Casa independiente (001)",62348,1452,19832,18758,12804,7704,1798
"Departamento en edificio (002)",502,12,112,169,129,68,12
"Vivienda en quinta (003)",2443,75,657,858,579,234,40
"Vivienda en casa de vecindad (004)",5368,151,1585,1921,1152,462,97
"Choza o cabaña (005)",3329,75,875,1098,711,426,144
"Vivienda improvisada (006)",649,18,250,178,145,44,14
"Local no destinado para hab.humana (007)",179,4,47,61,41,26,
"Otro tipo (008)",75,1,17,23,21,12,1
,,,,,,,
"URBANA (009)",62582,1495,19706,19336,13123,7385,1537
"Casa independiente (010)",53425,1235,17051,16145,11071,6549,1374
"Departamento en edificio (011)",502,12,112,169,129,68,12
"Vivienda en quinta (012)",2443,75,657,858,579,234,40
"Vivienda en casa de vecindad (013)",5368,151,1585,1921,1152,462,97
"Vivienda improvisada (015)",649,18,250,178,145,44,14
"Local no destinado para hab.humana (016)",165,4,42,57,38,24,
"Otro tipo (017)",30,,9,8,9,4,
,,,,,,,
"RURAL (018)",12311,293,3669,3730,2459,1591,569
"Casa independiente (019)",8923,217,2781,2613,1733,1155,424
"Choza o cabaña (023)",3329,75,875,1098,711,426,144
"Local no destinado para hab.humana (025)",14,,5,4,3,2,
"Otro tipo (026)",45,1,8,15,12,8,1
