"CUADRO Nº 4: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICION DE ACTIVIDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia EL COLLAO (000)",72814,9047,3570,1259,58996
"Hombres (001)",36879,4409,1910,944,29658
"Mujeres (002)",35935,4638,1660,315,29338
"PEA (003)",33360,1566,1754,698,29374
"Hombres (004)",20181,795,1097,573,17744
"Mujeres (005)",13179,771,657,125,11630
"Ocupada (006)",31442,1514,1707,685,27568
"Hombres (007)",18752,762,1070,564,16384
"Mujeres (008)",12690,752,637,121,11184
"Desocupada (009)",1918,52,47,13,1806
"Hombres (010)",1429,33,27,9,1360
"Mujeres (011)",489,19,20,4,446
"No PEA (012)",39454,7481,1816,561,29622
"Hombres (013)",16698,3614,813,371,11914
"Mujeres (014)",22756,3867,1003,190,17708
,,,,,
"URBANA (018)",22876,2466,2619,880,16942
"Hombres (019)",11754,1188,1362,686,8541
"Mujeres (020)",11122,1278,1257,194,8401
"PEA (021)",9917,525,1269,530,7614
"Hombres (022)",5854,289,746,460,4377
"Mujeres (023)",4063,236,523,70,3237
"Ocupada (024)",9191,496,1233,517,6966
"Hombres (025)",5386,272,729,451,3952
"Mujeres (026)",3805,224,504,66,3014
"Desocupada (027)",726,29,36,13,648
"Hombres (028)",468,17,17,9,425
"Mujeres (029)",258,12,19,4,223
"No PEA (030)",12959,1941,1350,350,9328
"Hombres (031)",5900,899,616,226,4164
"Mujeres (032)",7059,1042,734,124,5164
,,,,,
"RURAL (036)",49938,6581,951,379,42054
"Hombres (037)",25125,3221,548,258,21117
"Mujeres (038)",24813,3360,403,121,20937
"PEA (039)",23443,1041,485,168,21760
"Hombres (040)",14327,506,351,113,13367
"Mujeres (041)",9116,535,134,55,8393
"Ocupada (042)",22251,1018,474,168,20602
"Hombres (043)",13366,490,341,113,12432
"Mujeres (044)",8885,528,133,55,8170
"Desocupada (045)",1192,23,11,,1158
"Hombres (046)",961,16,10,,935
"Mujeres (047)",231,7,1,,223
"No PEA (048)",26495,5540,466,211,20294
"Hombres (049)",10798,2715,197,145,7750
"Mujeres (050)",15697,2825,269,66,12544
