"CUADRO Nº 4: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICION DE ACTIVIDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia REQUENA (000)",53317,14483,5089,580,33206
"Hombres (001)",28166,6748,2600,339,18505
"Mujeres (002)",25151,7735,2489,241,14701
"PEA (003)",22044,3439,2346,311,15971
"Hombres (004)",15473,2013,1349,231,11896
"Mujeres (005)",6571,1426,997,80,4075
"Ocupada (006)",21213,3337,2309,307,15283
"Hombres (007)",14867,1950,1325,228,11380
"Mujeres (008)",6346,1387,984,79,3903
"Desocupada (009)",831,102,37,4,688
"Hombres (010)",606,63,24,3,516
"Mujeres (011)",225,39,13,1,172
"No PEA (012)",31273,11044,2743,269,17235
"Hombres (013)",12693,4735,1251,108,6609
"Mujeres (014)",18580,6309,1492,161,10626
,,,,,
"URBANA (018)",31147,8019,4407,493,18267
"Hombres (019)",16148,3698,2222,284,9969
"Mujeres (020)",14999,4321,2185,209,8298
"PEA (021)",12525,1688,1953,261,8644
"Hombres (022)",8393,978,1100,192,6138
"Mujeres (023)",4132,710,853,69,2506
"Ocupada (024)",11926,1607,1922,258,8160
"Hombres (025)",7961,926,1080,190,5780
"Mujeres (026)",3965,681,842,68,2380
"Desocupada (027)",599,81,31,3,484
"Hombres (028)",432,52,20,2,358
"Mujeres (029)",167,29,11,1,126
"No PEA (030)",18622,6331,2454,232,9623
"Hombres (031)",7755,2720,1122,92,3831
"Mujeres (032)",10867,3611,1332,140,5792
,,,,,
"RURAL (036)",22170,6464,682,87,14939
"Hombres (037)",12018,3050,378,55,8536
"Mujeres (038)",10152,3414,304,32,6403
"PEA (039)",9519,1751,393,50,7327
"Hombres (040)",7080,1035,249,39,5758
"Mujeres (041)",2439,716,144,11,1569
"Ocupada (042)",9287,1730,387,49,7123
"Hombres (043)",6906,1024,245,38,5600
"Mujeres (044)",2381,706,142,11,1523
"Desocupada (045)",232,21,6,1,204
"Hombres (046)",174,11,4,1,158
"Mujeres (047)",58,10,2,,46
"No PEA (048)",12651,4713,289,37,7612
"Hombres (049)",4938,2015,129,16,2778
"Mujeres (050)",7713,2698,160,21,4834
