"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia CARLOS FERMIN FITZCARRALD (000)",19761,5966,1455,300,12048
"Sin Nivel (001)",5835,1219,184,51,4382
"Educación Inicial (002)",859,647,62,9,141
"Primaria (003)",8050,3372,462,96,4124
"Secundaria (004)",3512,672,234,49,2558
"Sup. no Univ. Incompleta (005)",296,9,47,5,235
"Sup. no Univ. Completa (006)",588,19,208,52,311
"Sup. Univ. Incompleta (007)",165,7,41,8,109
"Sup. Univ. Completa (008)",456,21,217,30,188
"Hombres (010)",9531,2866,791,178,5701
"Sin Nivel (011)",2043,537,77,16,1414
"Educación Inicial (012)",435,323,37,6,69
"Primaria (013)",4153,1628,248,55,2224
"Secundaria (014)",1994,345,127,33,1490
"Sup. no Univ. Incompleta (015)",148,4,19,4,121
"Sup. no Univ. Completa (016)",341,12,112,37,181
"Sup. Univ. Incompleta (017)",113,2,28,6,77
"Sup. Univ. Completa (018)",304,15,143,21,125
"Mujeres (020)",10230,3100,664,122,6347
"Sin Nivel (021)",3792,682,107,35,2968
"Educación Inicial (022)",424,324,25,3,72
"Primaria (023)",3897,1744,214,41,1900
"Secundaria (024)",1518,327,107,16,1068
"Sup. no Univ. Incompleta (025)",148,5,28,1,114
"Sup. no Univ. Completa (026)",247,7,96,15,130
"Sup. Univ. Incompleta (027)",52,5,13,2,32
"Sup. Univ. Completa (028)",152,6,74,9,63
,,,,,
"URBANA (030)",3163,509,699,120,1837
"Sin Nivel (031)",468,102,43,17,306
"Educación Inicial (032)",109,39,34,4,32
"Primaria (033)",965,238,142,33,552
"Secundaria (034)",742,105,103,21,513
"Sup. no Univ. Incompleta (035)",149,7,32,,110
"Sup. no Univ. Completa (036)",339,6,146,27,162
"Sup. Univ. Incompleta (037)",95,3,33,4,55
"Sup. Univ. Completa (038)",296,9,166,14,107
"Hombres (040)",1551,233,368,74,877
"Sin Nivel (041)",161,47,16,4,94
"Educación Inicial (042)",61,18,18,3,22
"Primaria (043)",446,111,71,19,245
"Secundaria (044)",391,43,55,17,276
"Sup. no Univ. Incompleta (045)",65,4,11,,50
"Sup. no Univ. Completa (046)",176,4,69,19,85
"Sup. Univ. Incompleta (047)",62,1,22,3,36
"Sup. Univ. Completa (048)",189,5,106,9,69
"Mujeres (050)",1612,276,331,46,960
"Sin Nivel (051)",307,55,27,13,212
"Educación Inicial (052)",48,21,16,1,10
"Primaria (053)",519,127,71,14,307
"Secundaria (054)",351,62,48,4,237
"Sup. no Univ. Incompleta (055)",84,3,21,,60
"Sup. no Univ. Completa (056)",163,2,77,8,77
"Sup. Univ. Incompleta (057)",33,2,11,1,19
"Sup. Univ. Completa (058)",107,4,60,5,38
,,,,,
"RURAL (060)",16598,5457,756,180,10211
"Sin Nivel (061)",5367,1117,141,34,4076
"Educación Inicial (062)",750,608,28,5,109
"Primaria (063)",7085,3134,320,63,3572
"Secundaria (064)",2770,567,131,28,2045
"Sup. no Univ. Incompleta (065)",147,2,15,5,125
"Sup. no Univ. Completa (066)",249,13,62,25,149
"Sup. Univ. Incompleta (067)",70,4,8,4,54
"Sup. Univ. Completa (068)",160,12,51,16,81
"Hombres (070)",7980,2633,423,104,4824
"Sin Nivel (071)",1882,490,61,12,1320
"Educación Inicial (072)",374,305,19,3,47
"Primaria (073)",3707,1517,177,36,1979
"Secundaria (074)",1603,302,72,16,1214
"Sup. no Univ. Incompleta (075)",83,,8,4,71
"Sup. no Univ. Completa (076)",165,8,43,18,96
"Sup. Univ. Incompleta (077)",51,1,6,3,41
"Sup. Univ. Completa (078)",115,10,37,12,56
"Mujeres (080)",8618,2824,333,76,5387
"Sin Nivel (081)",3485,627,80,22,2756
"Educación Inicial (082)",376,303,9,2,62
"Primaria (083)",3378,1617,143,27,1593
"Secundaria (084)",1167,265,59,12,831
"Sup. no Univ. Incompleta (085)",64,2,7,1,54
"Sup. no Univ. Completa (086)",84,5,19,7,53
"Sup. Univ. Incompleta (087)",19,3,2,1,13
"Sup. Univ. Completa (088)",45,2,14,4,25
