"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia LAURICOCHA (000)",9358,6773,566,299,1720
"Empleado (001)",1096,127,110,176,683
"Obrero (002)",1991,734,140,103,1014
"Trabajador independiente (003)",4447,4253,194,,
"Empleador o patrono (004)",76,38,30,8,
"Trabajador familiar no remunerado (005)",1624,1497,92,12,23
"Trabajador del hogar (006)",124,124,,,
"De 06 a 14 años (008)",234,216,18,,
"Empleado (009)",2,2,,,
"Obrero (010)",19,16,3,,
"Trabajador independiente (011)",7,7,,,
"Trabajador familiar no remunerado (013)",204,189,15,,
"Trabajador del hogar (014)",2,2,,,
"De 15 a 29 años (016)",2759,1900,186,85,588
"Empleado (017)",311,48,31,35,197
"Obrero (018)",756,276,56,44,380
"Trabajador independiente (019)",971,922,49,,
"Empleador o patrono (020)",18,7,8,3,
"Trabajador familiar no remunerado (021)",659,603,42,3,11
"Trabajador del hogar (022)",44,44,,,
"De 30 a 44 años (024)",3317,2221,198,115,783
"Empleado (025)",471,51,46,73,301
"Obrero (026)",807,240,52,37,478
"Trabajador independiente (027)",1597,1525,72,,
"Empleador o patrono (028)",24,13,9,2,
"Trabajador familiar no remunerado (029)",375,349,19,3,4
"Trabajador del hogar (030)",43,43,,,
"De 45 a 64 años (032)",2316,1752,131,95,338
"Empleado (033)",300,22,32,68,178
"Obrero (034)",354,158,22,21,153
"Trabajador independiente (035)",1318,1266,52,,
"Empleador o patrono (036)",29,15,12,2,
"Trabajador familiar no remunerado (037)",286,262,13,4,7
"Trabajador del hogar (038)",29,29,,,
"De 65 y más años (040)",732,684,33,4,11
"Empleado (041)",12,4,1,,7
"Obrero (042)",55,44,7,1,3
"Trabajador independiente (043)",554,533,21,,
"Empleador o patrono (044)",5,3,1,1,
"Trabajador familiar no remunerado (045)",100,94,3,2,1
"Trabajador del hogar (046)",6,6,,,
,,,,,
"URBANA (048)",2146,1527,164,135,320
"Empleado (049)",529,72,55,112,290
"Obrero (050)",212,144,20,18,30
"Trabajador independiente (051)",1004,953,51,,
"Empleador o patrono (052)",11,5,3,3,
"Trabajador familiar no remunerado (053)",341,304,35,2,
"Trabajador del hogar (054)",49,49,,,
"De 06 a 14 años (056)",63,52,11,,
"Empleado (057)",2,2,,,
