"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia CORONEL PORTILLO (000)",125844,3040,45067,43901,28930,4906
"Agric., ganadería, caza y silvicultura (001)",22681,776,7398,6681,5907,1919
"Pesca (002)",1156,26,310,414,337,69
"Explotación de minas y canteras (003)",265,4,85,98,75,3
"Industrias manufactureras (004)",11570,262,4700,3627,2604,377
"Suministro de electricidad, gas y agua (005)",286,10,81,87,95,13
"Construcción (006)",5452,51,1833,1932,1491,145
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",26428,928,8802,9180,6425,1093
"Venta, mant.y rep. veh.autom.y motoc. (008)",3184,108,1384,995,627,70
"Comercio al por mayor (009)",1354,22,550,476,274,32
"Comercio al por menor (010)",21890,798,6868,7709,5524,991
"Hoteles y restaurantes (011)",7078,312,2604,2249,1674,239
"Trans., almac. y comunicaciones (012)",13709,121,5879,5069,2470,170
"Intermediación financiera (013)",415,,184,167,61,3
"Activid.inmobil., empres. y alquileres (014)",5506,2,2267,2050,1088,99
"Admin.pub. y defensa; p. segur.soc afil (015)",4132,,1270,1865,966,31
"Enseñanza (016)",7139,1,1197,3940,1948,53
"Servicios sociales y de salud (017)",2143,,483,1040,571,49
"Otras activ. serv.comun.soc y personales (018)",3600,155,1299,1227,776,143
"Hogares privados con servicio doméstico (019)",3859,160,1857,1091,636,115
"Organiz. y organos extraterritoriales (020)",10,,,5,5,
"Actividad economica no especificada (021)",5673,76,2299,1916,1153,229
"Desocupado (022)",4742,156,2519,1263,648,156
"Hombres (023)",83190,2096,30066,27822,19524,3682
"Agric., ganadería, caza y silvicultura (024)",18139,589,5960,5326,4672,1592
"Pesca (025)",1090,26,293,388,319,64
"Explotación de minas y canteras (026)",239,4,79,84,70,2
"Industrias manufactureras (027)",9034,223,3910,2704,1893,304
"Suministro de electricidad, gas y agua (028)",255,10,75,74,83,13
"Construcción (029)",5230,49,1761,1821,1456,143
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",14679,629,5038,4624,3676,712
"Venta, mant.y rep. veh.autom.y motoc. (031)",2878,100,1217,904,589,68
"Comercio al por mayor (032)",983,16,397,326,216,28
"Comercio al por menor (033)",10818,513,3424,3394,2871,616
"Hoteles y restaurantes (034)",1841,141,796,435,390,79
"Trans., almac. y comunicaciones (035)",13096,114,5539,4891,2385,167
"Intermediación financiera (036)",258,,97,110,48,3
