"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia CARAVELI (000)",9386,5999,3387
"Red pública dentro de la vivienda (001)",3920,3345,575
"Red pública fuera de la vivienda (002)",477,329,148
"Pilón de uso público (003)",160,49,111
"Camión - cisterna u otro similar (004)",2474,1206,1268
"Pozo (005)",543,234,309
"Río, acequia, manatial o similar (006)",1534,697,837
"Vecino (007)",181,81,100
"Otro (008)",97,58,39
,,,
"URBANA (010)",6019,4939,1080
"Red pública dentro de la vivienda (011)",3346,3057,289
"Red pública fuera de la vivienda (012)",361,304,57
"Pilón de uso público (013)",104,46,58
"Camión - cisterna u otro similar (014)",1359,969,390
"Pozo (015)",217,131,86
"Río, acequia, manatial o similar (016)",434,311,123
"Vecino (017)",137,75,62
"Otro (018)",61,46,15
,,,
"RURAL (020)",3367,1060,2307
"Red pública dentro de la vivienda (021)",574,288,286
"Red pública fuera de la vivienda (022)",116,25,91
"Pilón de uso público (023)",56,3,53
"Camión - cisterna u otro similar (024)",1115,237,878
"Pozo (025)",326,103,223
"Río, acequia, manatial o similar (026)",1100,386,714
"Vecino (027)",44,6,38
"Otro (028)",36,12,24
