"CUADRO Nº 3: VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia SANCHEZ CARRION (000)",55,54,1
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",25,25,
"Casa pensión (003)",9,8,1
"Hospital, clinica (004)",4,4,
"Cárcel, centro de readaptación social (005)",1,1,
"Asilo (006)",1,1,
"Otro (008)",8,8,
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",7,7,
