"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia ASCOPE (000)",33114,311,1330,3074,4383,6567,9466,7983
"De 12 a 14 años (001)",41,,,,,,6,35
"De 15 a 19 años (002)",757,,,,,,433,324
"De 20 a 24 años (003)",2925,,,,,18,1734,1173
"De 25 a 29 años (004)",3623,,,,,216,2247,1160
"De 30 a 34 años (005)",3677,,,,,731,2044,902
"De 35 a 39 años (006)",3716,,,,59,1232,1625,800
"De 40 a 44 años (007)",3681,,,,320,1634,1012,715
"De 45 a 49 años (008)",3211,,,29,749,1493,312,628
"De 50 y más años (009)",11483,311,1330,3045,3255,1243,53,2246
"PEA (010)",8271,6,83,379,1026,2129,2240,2408
"De 12 a 14 años (011)",4,,,,,,,4
"De 15 a 19 años (012)",74,,,,,,36,38
"De 20 a 24 años (013)",645,,,,,5,304,336
"De 25 a 29 años (014)",991,,,,,82,501,408
"De 30 a 34 años (015)",1161,,,,,254,532,375
"De 35 a 39 años (016)",1229,,,,25,414,480,310
"De 40 a 44 años (017)",1235,,,,121,550,293,271
"De 45 a 49 años (018)",1058,,,6,240,492,82,238
"De 50 y más años (019)",1874,6,83,373,640,332,12,428
"Ocupada (020)",7906,6,82,378,1008,2072,2133,2227
"De 12 a 14 años (021)",3,,,,,,,3
"De 15 a 19 años (022)",61,,,,,,31,30
"De 20 a 24 años (023)",571,,,,,5,280,286
"De 25 a 29 años (024)",911,,,,,77,466,368
"De 30 a 34 años (025)",1103,,,,,247,515,341
"De 35 a 39 años (026)",1169,,,,24,393,463,289
"De 40 a 44 años (027)",1204,,,,118,538,287,261
"De 45 a 49 años (028)",1033,,,6,236,486,79,226
"De 50 y más años (029)",1851,6,82,372,630,326,12,423
"Desocupada (030)",365,,1,1,18,57,107,181
"De 12 a 14 años (031)",1,,,,,,,1
"De 15 a 19 años (032)",13,,,,,,5,8
"De 20 a 24 años (033)",74,,,,,,24,50
"De 25 a 29 años (034)",80,,,,,5,35,40
"De 30 a 34 años (035)",58,,,,,7,17,34
"De 35 a 39 años (036)",60,,,,1,21,17,21
"De 40 a 44 años (037)",31,,,,3,12,6,10
"De 45 a 49 años (038)",25,,,,4,6,3,12
"De 50 y más años (039)",23,,1,1,10,6,,5
"No PEA (040)",24843,305,1247,2695,3357,4438,7226,5575
"De 12 a 14 años (041)",37,,,,,,6,31
"De 15 a 19 años (042)",683,,,,,,397,286
"De 20 a 24 años (043)",2280,,,,,13,1430,837
"De 25 a 29 años (044)",2632,,,,,134,1746,752
"De 30 a 34 años (045)",2516,,,,,477,1512,527
"De 35 a 39 años (046)",2487,,,,34,818,1145,490
