"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia SANTA (000)",156601,148825,45613,24722,24731,17867,19593,9156,4524,2619,7776,339900
"De 12 a 14 años (001)",12292,12227,12173,46,8,,,,,,65,62
"De 15 a 19 años (002)",19406,19084,17108,1763,177,29,7,,,,322,2232
"De 20 a 24 años (003)",17642,15370,7729,5565,1702,309,53,12,,,2272,10195
"De 25 a 29 años (004)",16772,14572,3210,5683,3951,1302,381,39,6,,2200,19375
"De 30 a 34 años (005)",15626,14613,1782,4050,4914,2469,1231,142,19,6,1013,27628
"De 35 a 39 años (006)",15106,14455,1096,2608,4636,3292,2368,370,75,10,651,35004
"De 40 a 44 años (007)",13298,12875,795,1679,3445,3065,2863,793,197,38,423,37297
"De 45 a 49 años (008)",10811,10543,499,1124,2204,2364,2811,1084,364,93,268,35869
"De 50 y más años (009)",35648,35086,1221,2204,3694,5037,9879,6716,3863,2472,562,172238
"PEA (010)",50883,47114,11309,9936,9461,6507,6297,2300,917,387,3769,102560
"De 12 a 14 años (011)",355,351,340,9,2,,,,,,4,13
"De 15 a 19 años (012)",3212,3158,2814,296,42,5,1,,,,54,399
"De 20 a 24 años (013)",6090,5110,3069,1559,406,62,10,4,,,980,2625
"De 25 a 29 años (014)",7020,5771,1997,2208,1076,368,107,13,2,,1249,6005
"De 30 a 34 años (015)",6879,6281,1208,1997,1808,811,397,51,7,2,598,10125
"De 35 a 39 años (016)",7087,6704,700,1487,2027,1367,970,135,16,2,383,14832
"De 40 a 44 años (017)",6289,6074,460,930,1734,1350,1203,315,70,12,215,16375
"De 45 a 49 años (018)",5075,4935,291,660,1100,1084,1197,428,148,27,140,15583
"De 50 y más años (019)",8876,8730,430,790,1266,1460,2412,1354,674,344,146,36603
