"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia CARAVELI (000)",11831,11411,3234,1924,1826,1315,1485,772,855,420
"Católica (001)",10639,10277,2914,1714,1679,1175,1339,699,757,362
"Cristiana/Evangélica (002)",648,625,159,115,72,83,92,43,61,23
"Otra (003)",347,332,98,56,50,36,45,21,26,15
"Ninguna (004)",197,177,63,39,25,21,9,9,11,20
,,,,,,,,,,
"URBANA (006)",8336,8059,2357,1326,1320,991,1039,501,525,277
"Católica (007)",7571,7319,2140,1199,1219,897,940,455,469,252
"Cristiana/Evangélica (008)",411,399,100,69,50,52,62,28,38,12
"Otra (009)",235,225,70,35,35,28,31,12,14,10
"Ninguna (010)",119,116,47,23,16,14,6,6,4,3
,,,,,,,,,,
"RURAL (012)",3495,3352,877,598,506,324,446,271,330,143
"Católica (013)",3068,2958,774,515,460,278,399,244,288,110
"Cristiana/Evangélica (014)",237,226,59,46,22,31,30,15,23,11
"Otra (015)",112,107,28,21,15,8,14,9,12,5
"Ninguna (016)",78,61,16,16,9,7,3,3,7,17
