"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia PUNO (000)",4021,3690,331
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",1359,1160,199
"Hospital, clinica (004)",204,204,
"Cárcel, centro de readaptación social (005)",266,266,
"Asilo (006)",38,38,
"Aldea infantil, orfelinato, etc (007)",286,286,
"Otro (008)",1090,963,127
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",778,773,5
