"CUADRO Nº 2: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR VARIEDAD DE ARTEFACTOS Y EQUIPOS QUE POSEE, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,
,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"ARTEFACTOS Y EQUIPOS QUE POSEE EL HOGAR",,,,,,
,,RADIO,"TELEVISOR A COLOR","EQUIPO DE SONIDO","LAVADORA DE ROPA","REFRIGERADORA O CONGELADORA",COMPUTADORA,NINGUNO
,,,,,,,,
"Provincia SECHURA",,,,,,,,
"Hogares (001)",14652,8551,8270,2654,342,3416,685,3105
"Ocupantes presentes (002)",61873,37654,39163,13087,1632,16912,3500,10253
"Casa independiente",,,,,,,,
"Hogares (004)",13746,8008,8164,2631,340,3398,682,2783
"Ocupantes presentes (005)",58775,35692,38768,12989,1624,16830,3490,9287
"Departamento en edificio",,,,,,,,
"Hogares (007)",9,5,6,1,1,1,1,2
"Ocupantes presentes (008)",22,14,15,2,3,3,3,3
"Vivienda en quinta",,,,,,,,
"Hogares (010)",4,3,2,,,,,1
"Ocupantes presentes (011)",10,9,6,,,,,1
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (013)",2,,,1,,1,,1
"Ocupantes presentes (014)",8,,,6,,6,,2
"Choza o cabaña",,,,,,,,
"Hogares (016)",307,249,29,9,1,6,1,49
"Ocupantes presentes (017)",1262,1041,132,39,5,30,3,176
"Vivienda improvisada",,,,,,,,
"Hogares (019)",572,282,66,11,,9,1,263
"Ocupantes presentes (020)",1768,887,232,45,,37,4,774
"Local no dest.para hab. humana",,,,,,,,
"Hogares (022)",10,4,3,1,,1,,4
"Ocupantes presentes (023)",26,11,10,6,,6,,8
"Otro tipo",,,,,,,,
"Hogares (025)",2,,,,,,,2
"Ocupantes presentes (026)",2,,,,,,,2
,,,,,,,,
URBANA,,,,,,,,
"Hogares (028)",13754,7944,8088,2614,340,3374,683,2881
"Ocupantes presentes (029)",58051,35040,38235,12872,1620,16678,3490,9397
"Casa independiente",,,,,,,,
"Hogares (031)",13156,7650,8011,2600,339,3362,681,2609
"Ocupantes presentes (032)",56216,34119,37972,12813,1617,16626,3483,8608
"Departamento en edificio",,,,,,,,
"Hogares (034)",9,5,6,1,1,1,1,2
"Ocupantes presentes (035)",22,14,15,2,3,3,3,3
"Vivienda en quinta",,,,,,,,
"Hogares (037)",4,3,2,,,,,1
"Ocupantes presentes (038)",10,9,6,,,,,1
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (040)",2,,,1,,1,,1
"Ocupantes presentes (041)",8,,,6,,6,,2
"Choza o cabaña",,,,,,,,
"Vivienda improvisada",,,,,,,,
"Hogares (046)",572,282,66,11,,9,1,263
"Ocupantes presentes (047)",1768,887,232,45,,37,4,774
"Local no dest.para hab. humana",,,,,,,,
"Hogares (049)",9,4,3,1,,1,,3
"Ocupantes presentes (050)",25,11,10,6,,6,,7
"Otro tipo",,,,,,,,
"Hogares (052)",2,,,,,,,2
"Ocupantes presentes (053)",2,,,,,,,2
,,,,,,,,
RURAL,,,,,,,,
"Hogares (055)",898,607,182,40,2,42,2,224
"Ocupantes presentes (056)",3822,2614,928,215,12,234,10,856
"Casa independiente",,,,,,,,
"Hogares (058)",590,358,153,31,1,36,1,174
"Ocupantes presentes (059)",2559,1573,796,176,7,204,7,679
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Choza o cabaña",,,,,,,,
"Hogares (070)",307,249,29,9,1,6,1,49
"Ocupantes presentes (071)",1262,1041,132,39,5,30,3,176
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Hogares (076)",1,,,,,,,1
"Ocupantes presentes (077)",1,,,,,,,1
"Otro tipo",,,,,,,,
