"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia CASTILLA (000)",36178,7978,6767,1487,20389
"Quechua (001)",6700,1640,1049,251,3869
"Aymara (002)",545,31,46,13,462
"Asháninka (003)",6,2,,,4
"Otra lengua nativa (004)",31,6,7,4,15
"Castellano (005)",28840,6280,5661,1219,16006
"Idioma Extranjero (006)",7,,2,,5
"Es Sordomudo/a (007)",49,19,2,,28
"Hombres (009)",19140,3718,3925,990,10838
"Quechua (010)",3485,726,701,170,1973
"Aymara (011)",334,11,33,10,286
"Asháninka (012)",4,1,,,3
"Otra lengua nativa (013)",15,2,3,3,7
"Castellano (014)",15271,2969,3187,807,8548
"Idioma Extranjero (015)",5,,1,,4
"Es Sordomudo/a (016)",26,9,,,17
"Mujeres (018)",17038,4260,2842,497,9551
"Quechua (019)",3215,914,348,81,1896
"Aymara (020)",211,20,13,3,176
"Asháninka (021)",2,1,,,1
"Otra lengua nativa (022)",16,4,4,1,8
"Castellano (023)",13569,3311,2474,412,7458
"Idioma Extranjero (024)",2,,1,,1
"Es Sordomudo/a (025)",23,10,2,,11
,,,,,
"URBANA (027)",20599,3753,4915,1206,11137
"Quechua (028)",3118,391,614,213,2000
"Aymara (029)",273,18,36,13,213
"Asháninka (030)",5,2,,,3
"Otra lengua nativa (031)",31,6,7,4,15
"Castellano (032)",17143,3330,4254,976,8887
"Idioma Extranjero (033)",7,,2,,5
"Es Sordomudo/a (034)",22,6,2,,14
"Hombres (036)",10630,1736,2667,819,5716
"Quechua (037)",1555,163,377,145,947
"Aymara (038)",170,7,24,10,135
"Asháninka (039)",3,1,,,2
"Otra lengua nativa (040)",15,2,3,3,7
"Castellano (041)",8872,1560,2262,661,4614
"Idioma Extranjero (042)",5,,1,,4
"Es Sordomudo/a (043)",10,3,,,7
"Mujeres (045)",9969,2017,2248,387,5421
"Quechua (046)",1563,228,237,68,1053
"Aymara (047)",103,11,12,3,78
"Asháninka (048)",2,1,,,1
"Otra lengua nativa (049)",16,4,4,1,8
"Castellano (050)",8271,1770,1992,315,4273
"Idioma Extranjero (051)",2,,1,,1
"Es Sordomudo/a (052)",12,3,2,,7
,,,,,
"RURAL (054)",15579,4225,1852,281,9252
"Quechua (055)",3582,1249,435,38,1869
"Aymara (056)",272,13,10,,249
"Asháninka (057)",1,,,,1
"Castellano (059)",11697,2950,1407,243,7119
"Es Sordomudo/a (061)",27,13,,,14
"Hombres (063)",8510,1982,1258,171,5122
"Quechua (064)",1930,563,324,25,1026
"Aymara (065)",164,4,9,,151
"Asháninka (066)",1,,,,1
"Castellano (068)",6399,1409,925,146,3934
"Es Sordomudo/a (070)",16,6,,,10
"Mujeres (072)",7069,2243,594,110,4130
"Quechua (073)",1652,686,111,13,843
"Aymara (074)",108,9,1,,98
"Castellano (077)",5298,1541,482,97,3185
"Es Sordomudo/a (079)",11,7,,,4
