"CUADRO Nº 9: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR TIPO DE ABASTECIMIENTO DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"TIPO DE ABASTECIMIENTO DE AGUA",,,,,,,
,,"RED PÚBLICA DENTRO DE LA VIVIENDA (AGUA POTABLE)","RED PÚBLICA FUERA DE LA VIVIENDA PERO DENTRO DE LA EDIFICACIÓN (AGUA POTABLE)","PILÓN DE USO PÚBLICO (AGUA POTABLE)","CAMIÓN-CISTERNA U OTRO SIMILAR",POZO,"RÍO, ACEQUIA, MANANTIAL O SIMILAR",VECINO,OTRO
,,,,,,,,,
"Provincia LAMBAYEQUE",,,,,,,,,
"Viviendas particulares (001)",54766,21793,1733,4073,1157,19497,3084,2926,503
"Ocupantes presentes (002)",258671,102009,7411,17553,4976,98972,13699,12231,1820
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",51815,21266,1557,3561,1137,18675,2288,2845,486
"Ocupantes presentes (005)",246863,100035,6936,15936,4876,95026,10377,11902,1775
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",272,201,66,,,,,5,
"Ocupantes presentes (008)",929,719,193,,,,,17,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",280,210,65,,,,,5,
"Ocupantes presentes (011)",1007,817,170,,,,,20,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",132,78,38,1,,3,5,7,
"Ocupantes presentes (014)",449,306,89,3,,15,16,20,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",1672,,,76,9,767,789,27,4
"Ocupantes presentes (017)",7670,,,437,60,3720,3296,136,21
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",537,13,4,434,10,38,,29,9
"Ocupantes presentes (020)",1572,52,8,1174,39,165,,114,20
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",50,25,3,1,1,11,2,3,4
"Ocupantes presentes (023)",164,80,15,3,1,41,10,10,4
"Otro tipo",,,,,,,,,
"Viviendas particulares (025)",8,,,,,3,,5,
"Ocupantes presentes (026)",17,,,,,5,,12,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",27896,20169,1106,1447,698,1228,579,2236,433
"Ocupantes presentes (029)",124818,93683,4409,5230,2950,5574,2376,9028,1568
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",26634,19644,930,1012,687,1184,573,2182,422
"Ocupantes presentes (032)",120734,91712,3934,4053,2910,5385,2359,8835,1546
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",272,201,66,,,,,5,
"Ocupantes presentes (035)",929,719,193,,,,,17,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",280,210,65,,,,,5,
"Ocupantes presentes (038)",1007,817,170,,,,,20,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",132,78,38,1,,3,5,7,
"Ocupantes presentes (041)",449,306,89,3,,15,16,20,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",537,13,4,434,10,38,,29,9
"Ocupantes presentes (047)",1572,52,8,1174,39,165,,114,20
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",36,23,3,,1,3,1,3,2
"Ocupantes presentes (050)",115,77,15,,1,9,1,10,2
"Otro tipo",,,,,,,,,
"Viviendas particulares (052)",5,,,,,,,5,
"Ocupantes presentes (053)",12,,,,,,,12,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",26870,1624,627,2626,459,18269,2505,690,70
"Ocupantes presentes (056)",133853,8326,3002,12323,2026,93398,11323,3203,252
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",25181,1622,627,2549,450,17491,1715,663,64
"Ocupantes presentes (059)",126129,8323,3002,11883,1966,89641,8018,3067,229
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",1672,,,76,9,767,789,27,4
"Ocupantes presentes (071)",7670,,,437,60,3720,3296,136,21
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",14,2,,1,,8,1,,2
"Ocupantes presentes (077)",49,3,,3,,32,9,,2
"Otro tipo",,,,,,,,,
"Viviendas particulares (079)",3,,,,,3,,,
"Ocupantes presentes (080)",5,,,,,5,,,
