"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia ABANCAY (000)",96064,1713,31864,25906,17733,12847,6001
"Hombres (001)",47611,869,16409,12729,8499,6330,2775
"Mujeres (002)",48453,844,15455,13177,9234,6517,3226
"Viviendas particulares (003)",95842,1710,31832,25828,17666,12811,5995
"Hombres (004)",47481,868,16406,12686,8447,6302,2772
"Mujeres (005)",48361,842,15426,13142,9219,6509,3223
"Viviendas colectivas (006)",112,3,30,26,36,13,4
"Hombres (007)",52,1,2,9,28,11,1
"Mujeres (008)",60,2,28,17,8,2,3
"Otro tipo (009)",110,,2,52,31,23,2
"Hombres (010)",78,,1,34,24,17,2
"Mujeres (011)",32,,1,18,7,6,
,,,,,,,
"URBANA (012)",60810,1054,19093,18523,11749,7475,2916
"Hombres (013)",29630,522,9747,8903,5505,3659,1294
"Mujeres (014)",31180,532,9346,9620,6244,3816,1622
"Viviendas particulares (015)",60601,1051,19061,18446,11689,7443,2911
"Hombres (016)",29513,521,9744,8861,5460,3635,1292
"Mujeres (017)",31088,530,9317,9585,6229,3808,1619
"Viviendas colectivas (018)",99,3,30,25,29,9,3
"Hombres (019)",39,1,2,8,21,7,
"Mujeres (020)",60,2,28,17,8,2,3
"Otro tipo (021)",110,,2,52,31,23,2
"Hombres (022)",78,,1,34,24,17,2
"Mujeres (023)",32,,1,18,7,6,
,,,,,,,
"RURAL (024)",35254,659,12771,7383,5984,5372,3085
"Hombres (025)",17981,347,6662,3826,2994,2671,1481
"Mujeres (026)",17273,312,6109,3557,2990,2701,1604
"Viviendas particulares (027)",35241,659,12771,7382,5977,5368,3084
"Hombres (028)",17968,347,6662,3825,2987,2667,1480
"Mujeres (029)",17273,312,6109,3557,2990,2701,1604
"Viviendas colectivas (030)",13,,,1,7,4,1
"Hombres (031)",13,,,1,7,4,1
