"CUADRO Nº 6: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR PERSONAS QUE PERTENECÍAN AL HOGAR Y AHORA VIVEN PERMANENTEMENTE EN OTRO PAÍS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE PERSONAS QUE VIVEN PERMANENTEMENTE EN OTRO PAÍS",,,,,,,NINGUNA
,,1,2,3,4,5,6,"7 Y MÁS",
,,,,,,,,,
"Provincia CHUCUITO",,,,,,,,,
"Hogares (001)",33639,1071,452,266,172,128,78,75,31397
"Ocupantes presentes (002)",124979,3796,1627,986,717,583,382,394,116494
"Casa independiente",,,,,,,,,
"Hogares (004)",30565,999,405,242,159,118,68,67,28507
"Ocupantes presentes (005)",112590,3515,1451,883,657,535,337,347,104865
"Departamento en edificio",,,,,,,,,
"Hogares (007)",31,2,1,1,1,1,,,25
"Ocupantes presentes (008)",138,9,4,3,5,3,,,114
"Vivienda en quinta",,,,,,,,,
"Hogares (010)",31,,1,1,,,1,,28
"Ocupantes presentes (011)",89,,3,3,,,4,,79
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (013)",253,7,6,8,2,,3,1,226
"Ocupantes presentes (014)",1004,37,19,26,9,,15,3,895
"Choza o cabaña",,,,,,,,,
"Hogares (016)",2738,60,39,14,10,9,6,7,2593
"Ocupantes presentes (017)",11089,228,150,71,46,45,26,44,10479
"Vivienda improvisada",,,,,,,,,
"Hogares (019)",1,,,,,,,,1
"Ocupantes presentes (020)",5,,,,,,,,5
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (022)",18,3,,,,,,,15
"Ocupantes presentes (023)",62,7,,,,,,,55
"Otro tipo",,,,,,,,,
"Hogares (025)",2,,,,,,,,2
"Ocupantes presentes (026)",2,,,,,,,,2
,,,,,,,,,
URBANA,,,,,,,,,
"Hogares (028)",8453,413,184,131,97,74,42,50,7462
"Ocupantes presentes (029)",34521,1506,680,465,397,337,222,279,30635
"Casa independiente",,,,,,,,,
"Hogares (031)",8124,401,176,121,94,73,38,49,7172
"Ocupantes presentes (032)",33244,1453,654,433,383,334,203,276,29508
"Departamento en edificio",,,,,,,,,
"Hogares (034)",31,2,1,1,1,1,,,25
"Ocupantes presentes (035)",138,9,4,3,5,3,,,114
"Vivienda en quinta",,,,,,,,,
"Hogares (037)",31,,1,1,,,1,,28
"Ocupantes presentes (038)",89,,3,3,,,4,,79
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (040)",253,7,6,8,2,,3,1,226
"Ocupantes presentes (041)",1004,37,19,26,9,,15,3,895
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Hogares (046)",1,,,,,,,,1
"Ocupantes presentes (047)",5,,,,,,,,5
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (049)",12,3,,,,,,,9
"Ocupantes presentes (050)",40,7,,,,,,,33
"Otro tipo",,,,,,,,,
"Hogares (052)",1,,,,,,,,1
"Ocupantes presentes (053)",1,,,,,,,,1
,,,,,,,,,
RURAL,,,,,,,,,
"Hogares (055)",25186,658,268,135,75,54,36,25,23935
"Ocupantes presentes (056)",90458,2290,947,521,320,246,160,115,85859
"Casa independiente",,,,,,,,,
"Hogares (058)",22441,598,229,121,65,45,30,18,21335
"Ocupantes presentes (059)",79346,2062,797,450,274,201,134,71,75357
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Hogares (070)",2738,60,39,14,10,9,6,7,2593
"Ocupantes presentes (071)",11089,228,150,71,46,45,26,44,10479
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (076)",6,,,,,,,,6
"Ocupantes presentes (077)",22,,,,,,,,22
"Otro tipo",,,,,,,,,
"Hogares (079)",1,,,,,,,,1
"Ocupantes presentes (080)",1,,,,,,,,1
