"CUADRO Nº 13: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE NO DISPONEN DEL SERVICIO DE AGUA TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE DÍAS A LA SEMANA QUE DISPONE DEL SERVICIO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE DÍAS A LA SEMANA QUE DISPONE DE AGUA",,,
,,1,2,3,4-6
,,,,,
"Provincia ASCOPE",,,,,
"Viviendas particulares (001)",4787,255,647,2328,1557
"Ocupantes presentes (002)",20328,981,2783,9812,6752
"Casa independiente",,,,,
"Viviendas particulares (004)",4761,253,642,2317,1549
"Ocupantes presentes (005)",20221,975,2766,9770,6710
"Departamento en edificio",,,,,
"Viviendas particulares (007)",5,,,3,2
"Ocupantes presentes (008)",25,,,8,17
"Vivienda en quinta",,,,,
"Viviendas particulares (010)",4,,1,2,1
"Ocupantes presentes (011)",11,,3,5,3
"Vivienda en casa de vecindad",,,,,
"Viviendas particulares (013)",11,1,3,3,4
"Ocupantes presentes (014)",51,5,13,17,16
"Choza o cabaña",,,,,
"Viviendas particulares (016)",1,,,1,
"Ocupantes presentes (017)",3,,,3,
"Vivienda improvisada",,,,,
"Viviendas particulares (019)",3,,,2,1
"Ocupantes presentes (020)",15,,,9,6
"Local no dest.para hab. humana",,,,,
"Viviendas particulares (022)",2,1,1,,
"Ocupantes presentes (023)",2,1,1,,
"Otro tipo",,,,,
,,,,,
URBANA,,,,,
"Viviendas particulares (028)",4375,230,601,2174,1370
"Ocupantes presentes (029)",18667,888,2609,9225,5945
"Casa independiente",,,,,
"Viviendas particulares (031)",4350,228,596,2164,1362
"Ocupantes presentes (032)",18563,882,2592,9186,5903
"Departamento en edificio",,,,,
"Viviendas particulares (034)",5,,,3,2
"Ocupantes presentes (035)",25,,,8,17
"Vivienda en quinta",,,,,
"Viviendas particulares (037)",4,,1,2,1
"Ocupantes presentes (038)",11,,3,5,3
"Vivienda en casa de vecindad",,,,,
"Viviendas particulares (040)",11,1,3,3,4
"Ocupantes presentes (041)",51,5,13,17,16
"Choza o cabaña",,,,,
"Vivienda improvisada",,,,,
"Viviendas particulares (046)",3,,,2,1
"Ocupantes presentes (047)",15,,,9,6
"Local no dest.para hab. humana",,,,,
"Viviendas particulares (049)",2,1,1,,
"Ocupantes presentes (050)",2,1,1,,
"Otro tipo",,,,,
,,,,,
RURAL,,,,,
"Viviendas particulares (055)",412,25,46,154,187
"Ocupantes presentes (056)",1661,93,174,587,807
"Casa independiente",,,,,
"Viviendas particulares (058)",411,25,46,153,187
"Ocupantes presentes (059)",1658,93,174,584,807
"Departamento en edificio",,,,,
"Vivienda en quinta",,,,,
"Vivienda en casa de vecindad",,,,,
"Choza o cabaña",,,,,
"Viviendas particulares (070)",1,,,1,
"Ocupantes presentes (071)",3,,,3,
"Vivienda improvisada",,,,,
"Local no dest.para hab. humana",,,,,
"Otro tipo",,,,,
