"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia JORGE BASADRE (000)",5551,29,462,220,302,306,778,468,607,2089,200,90
"Agric., ganadería, caza y silvicultura (001)",1631,,4,4,2,,760,,3,858,,
"Pesca (002)",22,,,,,,18,,,4,,
"Explotación de minas y canteras (003)",526,16,100,45,37,1,,207,96,24,,
"Industrias manufactureras (004)",187,,10,4,2,4,,96,68,3,,
"Suministro de electricidad, gas y agua (005)",10,,1,2,,,,1,2,4,,
"Construcción (006)",342,,32,21,6,,,24,119,140,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",251,,6,11,3,116,,75,6,34,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",98,,5,5,1,8,,72,5,2,,
"Comercio al por mayor (009)",8,,,,1,7,,,,,,
"Comercio al por menor (010)",145,,1,6,1,101,,3,1,32,,
"Hoteles y restaurantes (011)",184,1,2,5,4,111,,,,61,,
"Trans., almac. y comunicaciones (012)",138,,,4,15,,,4,102,13,,
"Intermediación financiera (013)",7,,1,1,4,,,,,1,,
"Activid.inmobil., empres. y alquileres (014)",138,,29,25,14,24,,4,20,22,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",1633,9,95,63,186,40,,57,188,795,200,
"Enseñanza (016)",142,3,120,2,4,,,,,13,,
