"CUADRO Nº 3: VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia HUAMALIES (000)",32,28,4
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",9,9,
"Casa pensión (003)",3,2,1
"Hospital, clinica (004)",7,6,1
"Aldea infantil, orfelinato, etc (007)",2,2,
"Otro (008)",6,5,1
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",5,4,1
