"CUADRO Nº 34: POBLACIÓN DESOCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia CHUMBIVILCAS (000)",442,13,235,130,46,18
"Sin nivel (001)",31,,3,8,11,9
"Educación inicial (002)",1,,,1,,
"Primaria (003)",158,7,70,50,26,5
"Secundaria (004)",185,6,122,46,8,3
"Superior no univ. incompleta (005)",13,,10,3,,
"Superior no univ. completa (006)",37,,23,13,,1
"Superior univ. incompleta (007)",5,,3,2,,
"Superior univ. completa (008)",12,,4,7,1,
"Hombres (010)",314,8,155,104,34,13
"Sin nivel (011)",13,,2,3,3,5
"Educación inicial (012)",1,,,1,,
"Primaria (013)",112,5,33,46,24,4
"Secundaria (014)",142,3,90,39,7,3
"Superior no univ. incompleta (015)",9,,7,2,,
"Superior no univ. completa (016)",27,,17,9,,1
"Superior univ. incompleta (017)",4,,3,1,,
"Superior univ. completa (018)",6,,3,3,,
"Mujeres (020)",128,5,80,26,12,5
"Sin nivel (021)",18,,1,5,8,4
"Primaria (023)",46,2,37,4,2,1
"Secundaria (024)",43,3,32,7,1,
"Superior no univ. incompleta (025)",4,,3,1,,
"Superior no univ. completa (026)",10,,6,4,,
"Superior univ. incompleta (027)",1,,,1,,
"Superior univ. completa (028)",6,,1,4,1,
,,,,,,
"Area Urbana (030)",256,5,135,84,22,10
"Sin nivel (031)",15,,1,2,7,5
"Educación inicial (032)",1,,,1,,
"Primaria (033)",81,2,37,28,11,3
"Secundaria (034)",110,3,69,34,3,1
"Superior no univ. incompleta (035)",10,,7,3,,
"Superior no univ. completa (036)",27,,16,10,,1
"Superior univ. incompleta (037)",3,,2,1,,
"Superior univ. completa (038)",9,,3,5,1,
"Hombres (040)",178,5,86,69,12,6
"Sin nivel (041)",4,,,1,1,2
"Educación inicial (042)",1,,,1,,
"Primaria (043)",55,2,16,26,9,2
"Secundaria (044)",84,3,49,29,2,1
"Superior no univ. incompleta (045)",7,,5,2,,
"Superior no univ. completa (046)",19,,11,7,,1
"Superior univ. incompleta (047)",3,,2,1,,
"Superior univ. completa (048)",5,,3,2,,
"Mujeres (050)",78,,49,15,10,4
"Sin nivel (051)",11,,1,1,6,3
"Primaria (053)",26,,21,2,2,1
"Secundaria (054)",26,,20,5,1,
"Superior no univ. incompleta (055)",3,,2,1,,
"Superior no univ. completa (056)",8,,5,3,,
"Superior univ. completa (058)",4,,,3,1,
,,,,,,
"Area Rural (060)",186,8,100,46,24,8
"Sin nivel (061)",16,,2,6,4,4
"Primaria (063)",77,5,33,22,15,2
"Secundaria (064)",75,3,53,12,5,2
"Superior no univ. incompleta (065)",3,,3,,,
"Superior no univ. completa (066)",10,,7,3,,
"Superior univ. incompleta (067)",2,,1,1,,
"Superior univ. completa (068)",3,,1,2,,
"Hombres (070)",136,3,69,35,22,7
"Sin nivel (071)",9,,2,2,2,3
"Primaria (073)",57,3,17,20,15,2
"Secundaria (074)",58,,41,10,5,2
"Superior no univ. incompleta (075)",2,,2,,,
"Superior no univ. completa (076)",8,,6,2,,
"Superior univ. incompleta (077)",1,,1,,,
"Superior univ. completa (078)",1,,,1,,
"Mujeres (080)",50,5,31,11,2,1
"Sin nivel (081)",7,,,4,2,1
"Primaria (083)",20,2,16,2,,
"Secundaria (084)",17,3,12,2,,
"Superior no univ. incompleta (085)",1,,1,,,
"Superior no univ. completa (086)",2,,1,1,,
"Superior univ. incompleta (087)",1,,,1,,
"Superior univ. completa (088)",2,,1,1,,
