"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia PURUS (000)",1053,708,139,45,161
"Hombres (001)",824,568,100,34,122
"Mujeres (002)",229,140,39,11,39
"De 06 a 14 años (003)",18,17,1,,
"Hombres (004)",15,15,,,
"Mujeres (005)",3,2,1,,
"De 15 a 29 años (006)",384,266,48,16,54
"Hombres (007)",300,211,34,12,43
"Mujeres (008)",84,55,14,4,11
"De 30 a 44 años (009)",438,267,71,26,74
"Hombres (010)",329,207,49,19,54
"Mujeres (011)",109,60,22,7,20
"De 45 a 64 años (012)",187,136,18,3,30
"Hombres (013)",157,115,16,3,23
"Mujeres (014)",30,21,2,,7
"De 65 y más años (015)",26,22,1,,3
"Hombres (016)",23,20,1,,2
"Mujeres (017)",3,2,,,1
,,,,,
"URBANA (018)",470,237,67,25,141
"Hombres (019)",332,169,40,19,104
"Mujeres (020)",138,68,27,6,37
"De 06 a 14 años (021)",13,13,,,
"Hombres (022)",11,11,,,
"Mujeres (023)",2,2,,,
"De 15 a 29 años (024)",159,79,25,8,47
"Hombres (025)",114,54,16,6,38
"Mujeres (026)",45,25,9,2,9
"De 30 a 44 años (027)",207,98,32,15,62
"Hombres (028)",134,65,16,11,42
"Mujeres (029)",73,33,16,4,20
"De 45 a 64 años (030)",84,42,10,2,30
"Hombres (031)",67,34,8,2,23
"Mujeres (032)",17,8,2,,7
"De 65 y más años (033)",7,5,,,2
"Hombres (034)",6,5,,,1
"Mujeres (035)",1,,,,1
,,,,,
"RURAL (036)",583,471,72,20,20
"Hombres (037)",492,399,60,15,18
"Mujeres (038)",91,72,12,5,2
"De 06 a 14 años (039)",5,4,1,,
"Hombres (040)",4,4,,,
"Mujeres (041)",1,,1,,
"De 15 a 29 años (042)",225,187,23,8,7
"Hombres (043)",186,157,18,6,5
"Mujeres (044)",39,30,5,2,2
"De 30 a 44 años (045)",231,169,39,11,12
"Hombres (046)",195,142,33,8,12
"Mujeres (047)",36,27,6,3,
"De 45 a 64 años (048)",103,94,8,1,
"Hombres (049)",90,81,8,1,
"Mujeres (050)",13,13,,,
"De 65 y más años (051)",19,17,1,,1
"Hombres (052)",17,15,1,,1
"Mujeres (053)",2,2,,,
