"CUADRO Nº 2: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia PACASMAYO (000)",73497,10086,12685,14251,12832,9903,13740
"Conviviente (001)",21015,238,3305,6813,5187,2993,2479
"Separado(a) (002)",2967,17,286,586,718,634,726
"Casado(a) (003)",20651,27,587,3048,5039,4901,7049
"Viudo(a) (004)",2868,4,8,56,145,303,2352
"Divorciado(a) (005)",261,,5,16,47,73,120
"Soltero(a) (006)",25735,9800,8494,3732,1696,999,1014
"Hombres (008)",36163,5053,6340,6821,6179,4824,6946
"Conviviente (009)",10230,76,1175,3193,2680,1600,1506
"Separado(a) (010)",836,8,46,143,178,190,271
"Casado(a) (011)",10239,15,166,1273,2341,2421,4023
"Viudo(a) (012)",757,2,2,15,27,65,646
"Divorciado(a) (013)",100,,2,4,15,29,50
"Soltero(a) (014)",14001,4952,4949,2193,938,519,450
"Mujeres (016)",37334,5033,6345,7430,6653,5079,6794
"Conviviente (017)",10785,162,2130,3620,2507,1393,973
"Separado(a) (018)",2131,9,240,443,540,444,455
"Casado(a) (019)",10412,12,421,1775,2698,2480,3026
"Viudo(a) (020)",2111,2,6,41,118,238,1706
"Divorciado(a) (021)",161,,3,12,32,44,70
"Soltero(a) (022)",11734,4848,3545,1539,758,480,564
,,,,,,,
"URBANA (024)",68443,9397,11706,13221,12082,9252,12785
"Conviviente (025)",19249,209,2978,6259,4823,2743,2237
"Separado(a) (026)",2782,17,260,547,680,603,675
"Casado(a) (027)",19415,26,543,2864,4795,4601,6586
"Viudo(a) (028)",2664,4,8,51,135,278,2188
"Divorciado(a) (029)",252,,5,16,45,71,115
"Soltero(a) (030)",24081,9141,7912,3484,1604,956,984
"Hombres (032)",33545,4704,5825,6299,5802,4498,6417
"Conviviente (033)",9358,70,1055,2923,2497,1460,1353
"Separado(a) (034)",780,8,42,133,166,183,248
"Casado(a) (035)",9615,15,154,1197,2222,2278,3749
"Viudo(a) (036)",694,2,2,15,27,58,590
"Divorciado(a) (037)",95,,2,4,15,27,47
"Soltero(a) (038)",13003,4609,4570,2027,875,492,430
"Mujeres (040)",34898,4693,5881,6922,6280,4754,6368
"Conviviente (041)",9891,139,1923,3336,2326,1283,884
"Separado(a) (042)",2002,9,218,414,514,420,427
"Casado(a) (043)",9800,11,389,1667,2573,2323,2837
"Viudo(a) (044)",1970,2,6,36,108,220,1598
"Divorciado(a) (045)",157,,3,12,30,44,68
"Soltero(a) (046)",11078,4532,3342,1457,729,464,554
,,,,,,,
"RURAL (048)",5054,689,979,1030,750,651,955
"Conviviente (049)",1766,29,327,554,364,250,242
"Separado(a) (050)",185,,26,39,38,31,51
"Casado(a) (051)",1236,1,44,184,244,300,463
"Viudo(a) (052)",204,,,5,10,25,164
"Divorciado(a) (053)",9,,,,2,2,5
"Soltero(a) (054)",1654,659,582,248,92,43,30
"Hombres (056)",2618,349,515,522,377,326,529
"Conviviente (057)",872,6,120,270,183,140,153
"Separado(a) (058)",56,,4,10,12,7,23
"Casado(a) (059)",624,,12,76,119,143,274
"Viudo(a) (060)",63,,,,,7,56
"Divorciado(a) (061)",5,,,,,2,3
"Soltero(a) (062)",998,343,379,166,63,27,20
"Mujeres (064)",2436,340,464,508,373,325,426
"Conviviente (065)",894,23,207,284,181,110,89
"Separado(a) (066)",129,,22,29,26,24,28
"Casado(a) (067)",612,1,32,108,125,157,189
"Viudo(a) (068)",141,,,5,10,18,108
"Divorciado(a) (069)",4,,,,2,,2
"Soltero(a) (070)",656,316,203,82,29,16,10
