"CUADRO Nº 30: POBLACIÓN OCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia SULLANA (000)",93260,23133,20578,40707,2051,4710,2081
"Conviviente (001)",24149,4609,6265,11744,480,732,319
"Separado(a) (002)",4092,1062,659,1926,74,77,294
"Casado(a) (003)",36541,9612,7102,17202,1046,1245,334
"Viudo(a) (004)",1781,261,226,1106,59,48,81
"Divorciado(a) (005)",349,144,29,151,12,6,7
"Soltero(a) (006)",26348,7445,6297,8578,380,2602,1046
"Hombres (008)",68185,12990,18851,31358,1680,3212,94
"Conviviente (009)",19065,3023,5774,9453,412,388,15
"Separado(a) (010)",1633,289,424,850,40,28,2
"Casado(a) (011)",27606,5871,6637,13673,899,503,23
"Viudo(a) (012)",844,77,169,531,32,35,
"Divorciado(a) (013)",188,60,24,93,6,5,
"Soltero(a) (014)",18849,3670,5823,6758,291,2253,54
"Mujeres (016)",25075,10143,1727,9349,371,1498,1987
"Conviviente (017)",5084,1586,491,2291,68,344,304
"Separado(a) (018)",2459,773,235,1076,34,49,292
"Casado(a) (019)",8935,3741,465,3529,147,742,311
"Viudo(a) (020)",937,184,57,575,27,13,81
"Divorciado(a) (021)",161,84,5,58,6,1,7
"Soltero(a) (022)",7499,3775,474,1820,89,349,992
,,,,,,,
"URBANA (024)",84744,22734,17219,37362,1891,3573,1965
"Conviviente (025)",21653,4514,5185,10636,437,574,307
"Separado(a) (026)",3904,1047,587,1848,71,70,281
"Casado(a) (027)",33684,9473,6135,15730,963,1061,322
"Viudo(a) (028)",1625,258,181,1015,54,39,78
"Divorciado(a) (029)",335,143,26,145,12,3,6
"Soltero(a) (030)",23543,7299,5105,7988,354,1826,971
"Hombres (032)",60653,12726,15739,28339,1537,2228,84
"Conviviente (033)",16812,2958,4772,8427,376,264,15
"Separado(a) (034)",1516,282,371,799,38,24,2
"Casado(a) (035)",25018,5757,5732,12320,818,368,23
"Viudo(a) (036)",726,76,135,460,29,26,
"Divorciado(a) (037)",177,59,21,88,6,3,
"Soltero(a) (038)",16404,3594,4708,6245,270,1543,44
"Mujeres (040)",24091,10008,1480,9023,354,1345,1881
"Conviviente (041)",4841,1556,413,2209,61,310,292
"Separado(a) (042)",2388,765,216,1049,33,46,279
"Casado(a) (043)",8666,3716,403,3410,145,693,299
"Viudo(a) (044)",899,182,46,555,25,13,78
"Divorciado(a) (045)",158,84,5,57,6,,6
"Soltero(a) (046)",7139,3705,397,1743,84,283,927
,,,,,,,
"RURAL (048)",8516,399,3359,3345,160,1137,116
"Conviviente (049)",2496,95,1080,1108,43,158,12
"Separado(a) (050)",188,15,72,78,3,7,13
"Casado(a) (051)",2857,139,967,1472,83,184,12
"Viudo(a) (052)",156,3,45,91,5,9,3
"Divorciado(a) (053)",14,1,3,6,,3,1
"Soltero(a) (054)",2805,146,1192,590,26,776,75
"Hombres (056)",7532,264,3112,3019,143,984,10
"Conviviente (057)",2253,65,1002,1026,36,124,
"Separado(a) (058)",117,7,53,51,2,4,
"Casado(a) (059)",2588,114,905,1353,81,135,
"Viudo(a) (060)",118,1,34,71,3,9,
"Divorciado(a) (061)",11,1,3,5,,2,
"Soltero(a) (062)",2445,76,1115,513,21,710,10
"Mujeres (064)",984,135,247,326,17,153,106
"Conviviente (065)",243,30,78,82,7,34,12
"Separado(a) (066)",71,8,19,27,1,3,13
"Casado(a) (067)",269,25,62,119,2,49,12
"Viudo(a) (068)",38,2,11,20,2,,3
"Divorciado(a) (069)",3,,,1,,1,1
"Soltero(a) (070)",360,70,77,77,5,66,65
