"CUADRO Nº 4: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,
,,,,,,,
"PROVINCIA, DISTRITO, ÁREA, URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia PAUCARTAMBO (000)",45494,1102,18613,10283,7973,5381,2142
"Jefe o Jefa (001)",11416,,36,2530,4286,3277,1287
"Esposa(o) / compañera(o) (002)",7864,,19,2483,3187,1783,392
"Hijo(a) / hijastro(a) (003)",22360,929,16739,4404,243,43,2
"Yerno / nuera (004)",260,,12,202,40,6,
"Nieto(a) (005)",1089,117,867,100,5,,
"Padres / suegros (006)",546,,,1,15,158,372
"Otro(a) pariente (007)",1567,54,837,387,145,75,69
"Trabajador(a) del hogar (008)",45,,12,26,2,3,2
"Pensionistas (009)",4,,,3,1,,
"Otro(a) no pariente (010)",343,2,91,147,49,36,18
"Hombres (011)",22834,572,9398,5198,4005,2660,1001
"Jefe o Jefa (012)",8799,,16,2061,3499,2418,805
"Esposa(o) / compañera(o) (013)",557,,10,164,224,122,37
"Hijo(a) / hijastro(a) (014)",11623,480,8451,2538,136,16,2
"Yerno / nuera (015)",86,,5,57,19,5,
"Nieto(a) (016)",558,62,434,60,2,,
"Padres / suegros (017)",168,,,,7,41,120
"Otro(a) pariente (018)",809,28,430,214,81,32,24
"Trabajador(a) del hogar (019)",13,,4,7,2,,
"Pensionistas (020)",3,,,2,1,,
"Otro(a) no pariente (021)",218,2,48,95,34,26,13
"Mujeres (022)",22660,530,9215,5085,3968,2721,1141
"Jefe o Jefa (023)",2617,,20,469,787,859,482
"Esposa(o) / compañera(o) (024)",7307,,9,2319,2963,1661,355
"Hijo(a) / hijastro(a) (025)",10737,449,8288,1866,107,27,
"Yerno / nuera (026)",174,,7,145,21,1,
"Nieto(a) (027)",531,55,433,40,3,,
"Padres / suegros (028)",378,,,1,8,117,252
"Otro(a) pariente (029)",758,26,407,173,64,43,45
"Trabajador(a) del hogar (030)",32,,8,19,,3,2
"Pensionistas (031)",1,,,1,,,
"Otro(a) no pariente (032)",125,,43,52,15,10,5
,,,,,,,
"URBANA (033)",8163,161,3067,1963,1607,974,391
"Jefe o Jefa (034)",2238,,22,450,888,622,256
"Esposa(o) / compañera(o) (035)",1269,,3,367,550,282,67
"Hijo(a) / hijastro(a) (036)",3695,121,2606,869,87,11,1
"Yerno / nuera (037)",72,,2,50,18,2,
"Nieto(a) (038)",255,36,190,29,,,
"Padres / suegros (039)",75,,,,1,24,50
"Otro(a) pariente (040)",354,3,181,106,39,16,9
"Trabajador(a) del hogar (041)",29,,9,19,,1,
"Pensionistas (042)",1,,,1,,,
"Otro(a) no pariente (043)",175,1,54,72,24,16,8
"Hombres (044)",3987,92,1508,933,797,473,184
"Jefe o Jefa (045)",1499,,8,297,645,400,149
"Esposa(o) / compañera(o) (046)",134,,2,38,50,37,7
"Hijo(a) / hijastro(a) (047)",1897,71,1305,465,51,4,1
"Yerno / nuera (048)",26,,,18,7,1,
"Nieto(a) (049)",121,18,85,18,,,
"Padres / suegros (050)",29,,,,,12,17
"Otro(a) pariente (051)",176,2,78,55,28,10,3
"Trabajador(a) del hogar (052)",6,,2,4,,,
"Pensionistas (053)",1,,,1,,,
"Otro(a) no pariente (054)",98,1,28,37,16,9,7
"Mujeres (055)",4176,69,1559,1030,810,501,207
"Jefe o Jefa (056)",739,,14,153,243,222,107
"Esposa(o) / compañera(o) (057)",1135,,1,329,500,245,60
"Hijo(a) / hijastro(a) (058)",1798,50,1301,404,36,7,
"Yerno / nuera (059)",46,,2,32,11,1,
"Nieto(a) (060)",134,18,105,11,,,
"Padres / suegros (061)",46,,,,1,12,33
"Otro(a) pariente (062)",178,1,103,51,11,6,6
"Trabajador(a) del hogar (063)",23,,7,15,,1,
"Otro(a) no pariente (065)",77,,26,35,8,7,1
,,,,,,,
"RURAL (066)",37331,941,15546,8320,6366,4407,1751
"Jefe o Jefa (067)",9178,,14,2080,3398,2655,1031
"Esposa(o) / compañera(o) (068)",6595,,16,2116,2637,1501,325
"Hijo(a) / hijastro(a) (069)",18665,808,14133,3535,156,32,1
"Yerno / nuera (070)",188,,10,152,22,4,
"Nieto(a) (071)",834,81,677,71,5,,
"Padres / suegros (072)",471,,,1,14,134,322
"Otro(a) pariente (073)",1213,51,656,281,106,59,60
"Trabajador(a) del hogar (074)",16,,3,7,2,2,2
"Pensionistas (075)",3,,,2,1,,
"Otro(a) no pariente (076)",168,1,37,75,25,20,10
"Hombres (077)",18847,480,7890,4265,3208,2187,817
"Jefe o Jefa (078)",7300,,8,1764,2854,2018,656
"Esposa(o) / compañera(o) (079)",423,,8,126,174,85,30
"Hijo(a) / hijastro(a) (080)",9726,409,7146,2073,85,12,1
"Yerno / nuera (081)",60,,5,39,12,4,
"Nieto(a) (082)",437,44,349,42,2,,
"Padres / suegros (083)",139,,,,7,29,103
"Otro(a) pariente (084)",633,26,352,159,53,22,21
"Trabajador(a) del hogar (085)",7,,2,3,2,,
"Pensionistas (086)",2,,,1,1,,
"Otro(a) no pariente (087)",120,1,20,58,18,17,6
"Mujeres (088)",18484,461,7656,4055,3158,2220,934
"Jefe o Jefa (089)",1878,,6,316,544,637,375
"Esposa(o) / compañera(o) (090)",6172,,8,1990,2463,1416,295
"Hijo(a) / hijastro(a) (091)",8939,399,6987,1462,71,20,
"Yerno / nuera (092)",128,,5,113,10,,
"Nieto(a) (093)",397,37,328,29,3,,
"Padres / suegros (094)",332,,,1,7,105,219
"Otro(a) pariente (095)",580,25,304,122,53,37,39
"Trabajador(a) del hogar (096)",9,,1,4,,2,2
"Pensionistas (097)",1,,,1,,,
"Otro(a) no pariente (098)",48,,17,17,7,3,4
