"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia ASUNCION (000)",2551,41,1008,872,238,85,34,11,2,,260
"Conviviente (001)",548,4,237,186,52,13,4,3,,,49
"Separado(a) (002)",97,1,39,32,10,4,3,1,,,7
"Casado(a) (003)",1284,26,519,479,124,44,14,,2,,76
"Viudo(a) (004)",423,9,180,146,34,12,4,6,,,32
"Divorciado(a) (005)",9,,2,5,1,,,,,,1
"Soltero(a) (006)",190,1,31,24,17,12,9,1,,,95
,,,,,,,,,,,
"URBANA (008)",612,6,166,230,86,28,14,6,,,76
"Conviviente (009)",166,,62,60,19,5,2,2,,,16
"Separado(a) (010)",27,,8,12,3,1,1,,,,2
"Casado(a) (011)",298,4,73,126,53,16,8,,,,18
"Viudo(a) (012)",58,2,14,24,3,2,2,3,,,8
"Divorciado(a) (013)",1,,,,1,,,,,,
"Soltero(a) (014)",62,,9,8,7,4,1,1,,,32
,,,,,,,,,,,
"RURAL (016)",1939,35,842,642,152,57,20,5,2,,184
"Conviviente (017)",382,4,175,126,33,8,2,1,,,33
"Separado(a) (018)",70,1,31,20,7,3,2,1,,,5
"Casado(a) (019)",986,22,446,353,71,28,6,,2,,58
"Viudo(a) (020)",365,7,166,122,31,10,2,3,,,24
"Divorciado(a) (021)",8,,2,5,,,,,,,1
"Soltero(a) (022)",128,1,22,16,10,8,8,,,,63
