"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia OTUZCO (000)",82690,4118,21637,15637,12054,10084,7242,5135,6783
"Quechua (001)",39,,6,9,7,7,4,3,3
"Aymara (002)",9,1,1,1,1,2,1,,2
"Ashaninca (003)",6,,2,1,3,,,,
"Otra lengua nativa (004)",87,5,24,21,7,11,5,5,9
"Castellano (005)",82456,4104,21576,15587,12025,10053,7226,5120,6765
"Idioma extranjero (006)",1,,,,,,1,,
"Es sordomudo/a (007)",92,8,28,18,11,11,5,7,4
"Hombres (009)",41646,2049,11038,7980,6056,5089,3617,2546,3271
"Quechua (010)",19,,2,5,3,4,2,1,2
"Aymara (011)",3,,1,,,,1,,1
"Ashaninca (012)",2,,1,1,,,,,
"Otra lengua nativa (013)",44,5,8,13,3,4,3,1,7
"Castellano (014)",41526,2040,11011,7949,6042,5075,3608,2541,3260
"Idioma extranjero (015)",1,,,,,,1,,
"Es sordomudo/a (016)",51,4,15,12,8,6,2,3,1
"Mujeres (018)",41044,2069,10599,7657,5998,4995,3625,2589,3512
"Quechua (019)",20,,4,4,4,3,2,2,1
"Aymara (020)",6,1,,1,1,2,,,1
"Ashaninca (021)",4,,1,,3,,,,
"Otra lengua nativa (022)",43,,16,8,4,7,2,4,2
"Castellano (023)",40930,2064,10565,7638,5983,4978,3618,2579,3505
"Es sordomudo/a (025)",41,4,13,6,3,5,3,4,3
,,,,,,,,,
"URBANA (027)",20025,799,4627,3676,2899,2756,1981,1389,1898
"Quechua (028)",8,,,2,2,3,,1,
"Aymara (029)",6,1,1,1,,2,,,1
"Ashaninca (030)",2,,,1,1,,,,
"Otra lengua nativa (031)",12,,1,3,2,5,,,1
"Castellano (032)",19980,797,4622,3664,2892,2744,1979,1387,1895
"Idioma extranjero (033)",1,,,,,,1,,
"Es sordomudo/a (034)",16,1,3,5,2,2,1,1,1
"Hombres (036)",9766,392,2355,1837,1366,1329,970,647,870
"Quechua (037)",4,,,,1,2,,1,
"Aymara (038)",2,,1,,,,,,1
"Ashaninca (039)",1,,,1,,,,,
"Otra lengua nativa (040)",6,,,2,2,1,,,1
"Castellano (041)",9742,392,2352,1830,1362,1324,968,646,868
"Idioma extranjero (042)",1,,,,,,1,,
"Es sordomudo/a (043)",10,,2,4,1,2,1,,
"Mujeres (045)",10259,407,2272,1839,1533,1427,1011,742,1028
"Quechua (046)",4,,,2,1,1,,,
"Aymara (047)",4,1,,1,,2,,,
"Ashaninca (048)",1,,,,1,,,,
"Otra lengua nativa (049)",6,,1,1,,4,,,
"Castellano (050)",10238,405,2270,1834,1530,1420,1011,741,1027
"Es sordomudo/a (052)",6,1,1,1,1,,,1,1
,,,,,,,,,
"RURAL (054)",62665,3319,17010,11961,9155,7328,5261,3746,4885
"Quechua (055)",31,,6,7,5,4,4,2,3
"Aymara (056)",3,,,,1,,1,,1
"Ashaninca (057)",4,,2,,2,,,,
"Otra lengua nativa (058)",75,5,23,18,5,6,5,5,8
"Castellano (059)",62476,3307,16954,11923,9133,7309,5247,3733,4870
"Es sordomudo/a (061)",76,7,25,13,9,9,4,6,3
"Hombres (063)",31880,1657,8683,6143,4690,3760,2647,1899,2401
"Quechua (064)",15,,2,5,2,2,2,,2
"Aymara (065)",1,,,,,,1,,
"Ashaninca (066)",1,,1,,,,,,
"Otra lengua nativa (067)",38,5,8,11,1,3,3,1,6
"Castellano (068)",31784,1648,8659,6119,4680,3751,2640,1895,2392
"Es sordomudo/a (070)",41,4,13,8,7,4,1,3,1
"Mujeres (072)",30785,1662,8327,5818,4465,3568,2614,1847,2484
"Quechua (073)",16,,4,2,3,2,2,2,1
"Aymara (074)",2,,,,1,,,,1
"Ashaninca (075)",3,,1,,2,,,,
"Otra lengua nativa (076)",37,,15,7,4,3,2,4,2
"Castellano (077)",30692,1659,8295,5804,4453,3558,2607,1838,2478
"Es sordomudo/a (079)",35,3,12,5,2,5,3,3,2
