"CUADRO Nº 8: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACION",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia HUARI (000)",16955,127,5406,6036,4033,1353
"Empleado (001)",3427,6,1029,1689,673,30
"Obrero (002)",5133,19,1825,1886,1118,285
"Trabajador independiente (003)",5452,26,1272,1712,1666,776
"Empleador o patrono (004)",97,,28,27,29,13
"Trabajador familiar no remunerado (005)",1411,47,577,330,309,148
"Trabajador del hogar (006)",223,3,101,55,47,17
"Desocupado (008)",1212,26,574,337,191,84
"Hombres (009)",13927,91,4378,4935,3353,1170
"Empleado (010)",2373,2,665,1191,495,20
"Obrero (011)",4825,19,1707,1802,1032,265
"Trabajador independiente (012)",4607,20,1057,1416,1417,697
"Empleador o patrono (013)",77,,22,19,24,12
"Trabajador familiar no remunerado (014)",1005,33,471,210,198,93
"Trabajador del hogar (015)",17,1,4,4,5,3
"Desocupado (017)",1023,16,452,293,182,80
"Mujeres (018)",3028,36,1028,1101,680,183
"Empleado (019)",1054,4,364,498,178,10
"Obrero (020)",308,,118,84,86,20
"Trabajador independiente (021)",845,6,215,296,249,79
"Empleador o patrono (022)",20,,6,8,5,1
"Trabajador familiar no remunerado (023)",406,14,106,120,111,55
"Trabajador del hogar (024)",206,2,97,51,42,14
"Desocupado (026)",189,10,122,44,9,4
,,,,,,
"URBANA (027)",6707,65,2023,2480,1648,491
"Empleado (028)",2064,4,532,1024,483,21
"Obrero (029)",1419,7,539,458,334,81
"Trabajador independiente (030)",2082,15,474,690,625,278
"Empleador o patrono (031)",66,,19,19,20,8
"Trabajador familiar no remunerado (032)",426,26,153,107,87,53
"Trabajador del hogar (033)",151,3,70,39,29,10
"Desocupado (035)",499,10,236,143,70,40
"Hombres (036)",4805,48,1425,1707,1230,395
"Empleado (037)",1254,2,293,615,328,16
"Obrero (038)",1288,7,487,423,297,74
"Trabajador independiente (039)",1541,13,335,485,475,233
"Empleador o patrono (040)",58,,18,16,17,7
"Trabajador familiar no remunerado (041)",251,19,112,50,45,25
"Trabajador del hogar (042)",13,1,2,4,4,2
"Desocupado (044)",400,6,178,114,64,38
"Mujeres (045)",1902,17,598,773,418,96
"Empleado (046)",810,2,239,409,155,5
"Obrero (047)",131,,52,35,37,7
"Trabajador independiente (048)",541,2,139,205,150,45
"Empleador o patrono (049)",8,,1,3,3,1
"Trabajador familiar no remunerado (050)",175,7,41,57,42,28
"Trabajador del hogar (051)",138,2,68,35,25,8
"Desocupado (053)",99,4,58,29,6,2
,,,,,,
"RURAL (054)",10248,62,3383,3556,2385,862
"Empleado (055)",1363,2,497,665,190,9
"Obrero (056)",3714,12,1286,1428,784,204
"Trabajador independiente (057)",3370,11,798,1022,1041,498
"Empleador o patrono (058)",31,,9,8,9,5
"Trabajador familiar no remunerado (059)",985,21,424,223,222,95
"Trabajador del hogar (060)",72,,31,16,18,7
"Desocupado (062)",713,16,338,194,121,44
"Hombres (063)",9122,43,2953,3228,2123,775
"Empleado (064)",1119,,372,576,167,4
"Obrero (065)",3537,12,1220,1379,735,191
"Trabajador independiente (066)",3066,7,722,931,942,464
"Empleador o patrono (067)",19,,4,3,7,5
"Trabajador familiar no remunerado (068)",754,14,359,160,153,68
"Trabajador del hogar (069)",4,,2,,1,1
"Desocupado (071)",623,10,274,179,118,42
"Mujeres (072)",1126,19,430,328,262,87
"Empleado (073)",244,2,125,89,23,5
"Obrero (074)",177,,66,49,49,13
"Trabajador independiente (075)",304,4,76,91,99,34
"Empleador o patrono (076)",12,,5,5,2,
"Trabajador familiar no remunerado (077)",231,7,65,63,69,27
"Trabajador del hogar (078)",68,,29,16,17,6
"Desocupado (080)",90,6,64,15,3,2
