"CUADRO Nº 13: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE NO DISPONEN DEL SERVICIO DE AGUA TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE DÍAS A LA SEMANA QUE DISPONE DEL SERVICIO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE DÍAS A LA SEMANA QUE DISPONE DE AGUA",,,
,,1,2,3,4-6
,,,,,
"Provincia VILCAS HUAMAN",,,,,
"Viviendas particulares (001)",608,168,127,237,76
"Ocupantes presentes (002)",1992,509,431,802,250
"Casa independiente",,,,,
"Viviendas particulares (004)",601,167,126,235,73
"Ocupantes presentes (005)",1970,508,428,794,240
"Departamento en edificio",,,,,
"Vivienda en quinta",,,,,
"Viviendas particulares (010)",1,,1,,
"Ocupantes presentes (011)",3,,3,,
"Vivienda en casa de vecindad",,,,,
"Viviendas particulares (013)",1,,,,1
"Ocupantes presentes (014)",3,,,,3
"Choza o cabaña",,,,,
"Viviendas particulares (016)",4,,,2,2
"Ocupantes presentes (017)",15,,,8,7
"Vivienda improvisada",,,,,
"Local no dest.para hab. humana",,,,,
"Viviendas particulares (022)",1,1,,,
"Ocupantes presentes (023)",1,1,,,
"Otro tipo",,,,,
,,,,,
URBANA,,,,,
"Viviendas particulares (028)",232,90,34,76,32
"Ocupantes presentes (029)",736,252,109,274,101
"Casa independiente",,,,,
"Viviendas particulares (031)",229,89,33,76,31
"Ocupantes presentes (032)",729,251,106,274,98
"Departamento en edificio",,,,,
"Vivienda en quinta",,,,,
"Viviendas particulares (037)",1,,1,,
"Ocupantes presentes (038)",3,,3,,
"Vivienda en casa de vecindad",,,,,
"Viviendas particulares (040)",1,,,,1
"Ocupantes presentes (041)",3,,,,3
"Choza o cabaña",,,,,
"Vivienda improvisada",,,,,
"Local no dest.para hab. humana",,,,,
"Viviendas particulares (049)",1,1,,,
"Ocupantes presentes (050)",1,1,,,
"Otro tipo",,,,,
,,,,,
RURAL,,,,,
"Viviendas particulares (055)",376,78,93,161,44
"Ocupantes presentes (056)",1256,257,322,528,149
"Casa independiente",,,,,
"Viviendas particulares (058)",372,78,93,159,42
"Ocupantes presentes (059)",1241,257,322,520,142
"Departamento en edificio",,,,,
"Vivienda en quinta",,,,,
"Vivienda en casa de vecindad",,,,,
"Choza o cabaña",,,,,
"Viviendas particulares (070)",4,,,2,2
"Ocupantes presentes (071)",15,,,8,7
"Vivienda improvisada",,,,,
"Local no dest.para hab. humana",,,,,
"Otro tipo",,,,,
